Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,131711536.0,0.5908241271972656,2.566345926879876e-07,31.76,0.5789674520492554,2.6613062686919875e-07,31.41
0,4083057616.0,0.5805131793022156,2.461535757447564e-07,31.96,0.5702868700027466,2.589470113889547e-07,32.24
10,43596518416.0,0.45001929998397827,2.7337591745890677e-07,55.82,0.4532409608364105,3.32028776028892e-07,55.44
20,83109979216.0,0.43133339285850525,2.574944062416762e-07,61.3,0.4346202611923218,3.5357214756004396e-07,60.46
30,122623440016.0,0.39792439341545105,3.06036952224531e-07,70.24,0.4033086895942688,4.034560845411761e-07,68.5
40,162136900816.0,0.30266106128692627,6.129875487204117e-07,84.16,0.3090691864490509,7.198282219178509e-07,82.1
50,201650361616.0,0.2819192707538605,1.4036488664714852e-06,87.64,0.28404536843299866,1.8293103494215757e-06,84.77
60,241163822416.0,0.28022268414497375,2.835295390468673e-06,88.04,0.2823764681816101,2.2414665181713644e-06,84.9
70,280677283216.0,0.2739023268222809,2.6457182684680447e-06,88.16,0.2777409851551056,3.1146414585236926e-06,84.91
80,320190744016.0,0.24622860550880432,8.221336429414805e-06,87.0,0.2501395344734192,1.0027670214185491e-05,84.19
90,359704204816.0,0.21047453582286835,2.0329236576799303e-05,86.5,0.22388869524002075,2.1830195692018606e-05,84.14
