Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,0,0.9029834270477295,3.6877956972602988e-06,79.52,0.8445047736167908,3.455928435869282e-06,77.8
0,4331471520.0,0.5242048501968384,3.2516420560568804e-06,90.64,0.4649333655834198,2.5995952910307096e-06,87.04
10,47646186720.0,0.11976784467697144,4.873922534898156e-06,96.88,0.1788945496082306,4.2126034713874105e-06,91.87
20,90960901920.0,0.11202353984117508,6.286775715125259e-06,97.16,0.17355327308177948,4.351810275693424e-06,91.9
30,134275617120.0,0.11448819935321808,4.705118954007048e-06,97.0,0.17213420569896698,4.701815214502858e-06,92.09
40,177590332320.0,0.07201588153839111,7.783084583934397e-06,97.28,0.1671261042356491,5.745124781242339e-06,92.49
50,220905047520.0,0.06550921499729156,8.054816134972498e-06,97.66,0.16011902689933777,6.581335583177861e-06,92.65
60,264219762720.0,0.062457624822854996,9.502602551947348e-06,97.62,0.16308307647705078,6.754921741958242e-06,92.7
70,307534477920.0,0.058896876871585846,9.34007312025642e-06,97.78,0.15959875285625458,7.085636752890423e-06,92.69
80,350849193120.0,0.06596509367227554,1.0501444194233045e-05,98.22,0.17360182106494904,7.840366379241459e-06,92.81
90,394163908320.0,0.04863521456718445,9.524899724056013e-06,98.0,0.17067791521549225,9.252600648324005e-06,92.94
