;name;train_acc;eval_acc
0;train-conv1;0.05500057895346267;0.0563
1;train-layer1-0-conv1_1x1;0.08667459657470078;0.0947
2;train-layer1-0-conv2_1x1;0.09495889430415057;0.1026
3;train-layer1-0-conv3_3x3;0.09775892377814503;0.1072
4;train-layer1-0-conv4_1x1;0.10841166749123675;0.1151
5;train-layer1-0-conv5_1x1;0.1238118295982063;0.1314
6;train-layer1-0-shortcut-0;0.1210223265508058;0.1333
7;train-layer2-0-conv1_1x1;0.2307076916599122;0.2415
8;train-layer2-0-conv2_1x1;0.18067558605880063;0.2012
9;train-layer2-0-conv3_3x3;0.21357066916493858;0.2187
10;train-layer2-0-conv4_1x1;0.21129696102064233;0.2313
11;train-layer2-0-conv5_1x1;0.22972873398667354;0.2434
12;train-layer2-0-shortcut-0;0.21320224423414982;0.2215
13;train-layer3-0-conv1_1x1;0.3553826882388236;0.3543
14;train-layer3-0-conv2_1x1;0.33556142696238905;0.3418
15;train-layer3-0-conv3_3x3;0.3518247560500637;0.3565
16;train-layer3-0-conv4_1x1;0.3658564826998179;0.3773
17;train-layer3-0-conv5_1x1;0.41058326929757155;0.404
18;train-layer3-0-shortcut-0;0.3135401425278161;0.3056
19;train-layer3-1-conv1_1x1;0.3909514836998284;0.3911
20;train-layer3-1-conv2_1x1;0.3112769608101138;0.3283
21;train-layer3-1-conv3_3x3;0.3304666364909104;0.3388
22;train-layer3-1-conv4_1x1;0.33298245244686786;0.3424
23;train-layer3-1-conv5_1x1;0.33764565942799396;0.3477
24;train-layer4-0-conv1_1x1;0.5771218644406784;0.5399
25;train-layer4-0-conv2_1x1;0.5873640775166055;0.559
26;train-layer4-0-conv3_3x3;0.6411014852787924;0.5917
27;train-layer4-0-conv4_1x1;0.6439646733123506;0.6094
28;train-layer4-0-conv5_1x1;0.7600922114969632;0.6502
29;train-layer4-0-shortcut-0;0.663828040295161;0.5118
30;train-linear;0.7280181896651544;0.6572
