Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,234478624.0,2.518584728240967,59.92,2.1308765411376953,52.98
0,28371913504.0,0.5941106081008911,94.04,0.5991374850273132,72.21
10,309746262304.0,0.13737092912197113,97.58,0.42237964272499084,74.95
20,591120611104.0,0.11841875314712524,98.74,0.4385824501514435,75.56
30,872494959904.0,0.09217113256454468,98.66,0.4468226134777069,75.89
40,1153869308704.0,0.08000276237726212,99.04,0.4779842495918274,76.02
50,1435243657504.0,0.09495323896408081,99.28,0.4981992840766907,76.4
60,1716618006304.0,0.08338181674480438,99.4,0.5236015319824219,76.5
70,1997992355104.0,0.06119784712791443,99.48,0.4841808080673218,76.67
80,2279366703904.0,0.08334456384181976,99.62,0.5376949310302734,76.48
90,2560741052704.0,0.08740373700857162,99.68,0.5019798874855042,76.56
100,2842115401504.0,0.055289119482040405,99.66,0.4987921714782715,76.59
101,2842115401504.0,0.05539458617568016,99.52,0.4987921714782715,76.59
