Epoch,test accuracy,training accuracy
122,43.68,"(46.68, 44346, 95000)"
123,44.74,"(47.10842105263158, 44753, 95000)"
124,45.16,"(47.54, 45163, 95000)"
125,44.22,"(47.62210526315789, 45241, 95000)"
126,51.0,"(47.886315789473684, 45492, 95000)"
127,45.44,"(48.283157894736846, 45869, 95000)"
128,48.7,"(48.45368421052632, 46031, 95000)"
129,47.03,"(48.96736842105263, 46519, 95000)"
130,51.08,"(49.246315789473684, 46784, 95000)"
131,45.14,"(49.70842105263158, 47223, 95000)"
132,49.81,"(49.93157894736842, 47435, 95000)"
133,46.07,"(50.37789473684211, 47859, 95000)"
134,50.77,"(50.62210526315789, 48091, 95000)"
135,50.02,"(51.12421052631579, 48568, 95000)"
136,47.81,"(51.64, 49058, 95000)"
137,48.98,"(51.937894736842104, 49341, 95000)"
138,50.73,"(52.23789473684211, 49626, 95000)"
139,48.72,"(52.537894736842105, 49911, 95000)"
140,52.35,"(52.95789473684211, 50310, 95000)"
141,50.89,"(53.67894736842105, 50995, 95000)"
142,51.48,"(53.601052631578945, 50921, 95000)"
143,52.31,"(54.18, 51471, 95000)"
144,51.9,"(54.525263157894734, 51799, 95000)"
145,53.42,"(55.25052631578947, 52488, 95000)"
146,49.45,"(55.742105263157896, 52955, 95000)"
147,48.15,"(56.23263157894737, 53421, 95000)"
148,53.06,"(56.81263157894737, 53972, 95000)"
149,51.95,"(56.92947368421053, 54083, 95000)"
150,48.9,"(57.41368421052631, 54543, 95000)"
151,53.02,"(58.089473684210525, 55185, 95000)"
152,54.98,"(58.73263157894737, 55796, 95000)"
153,52.09,"(59.182105263157894, 56223, 95000)"
154,54.8,"(59.68631578947368, 56702, 95000)"
155,55.85,"(59.95368421052632, 56956, 95000)"
156,54.56,"(60.73368421052631, 57697, 95000)"
157,54.71,"(61.37789473684211, 58309, 95000)"
158,52.69,"(62.01684210526316, 58916, 95000)"
159,57.14,"(62.83052631578948, 59689, 95000)"
160,56.97,"(63.42842105263158, 60257, 95000)"
161,56.28,"(63.93684210526316, 60740, 95000)"
162,56.73,"(64.58526315789474, 61356, 95000)"
163,56.08,"(65.11263157894737, 61857, 95000)"
164,57.33,"(65.8957894736842, 62601, 95000)"
165,56.73,"(66.69473684210526, 63360, 95000)"
166,56.78,"(67.28, 63916, 95000)"
167,57.42,"(68.00842105263158, 64608, 95000)"
168,56.77,"(68.80947368421053, 65369, 95000)"
169,58.44,"(69.3157894736842, 65850, 95000)"
170,58.08,"(70.42315789473685, 66902, 95000)"
171,58.32,"(71.08421052631579, 67530, 95000)"
172,58.74,"(72.04315789473684, 68441, 95000)"
173,59.4,"(72.59263157894736, 68963, 95000)"
174,60.36,"(73.51789473684211, 69842, 95000)"
175,58.25,"(74.17894736842105, 70470, 95000)"
176,60.1,"(74.90842105263158, 71163, 95000)"
177,60.71,"(75.98842105263158, 72189, 95000)"
178,60.36,"(76.66315789473684, 72830, 95000)"
179,60.77,"(77.26315789473684, 73400, 95000)"
180,59.61,"(78.31157894736842, 74396, 95000)"
181,60.36,"(78.92631578947369, 74980, 95000)"
182,61.29,"(79.65578947368421, 75673, 95000)"
183,61.97,"(80.30421052631579, 76289, 95000)"
184,61.65,"(80.84315789473685, 76801, 95000)"
185,61.64,"(81.52631578947368, 77450, 95000)"
186,61.75,"(81.98631578947368, 77887, 95000)"
187,61.47,"(82.58421052631579, 78455, 95000)"
188,61.61,"(83.05052631578947, 78898, 95000)"
189,61.95,"(83.38631578947368, 79217, 95000)"
190,61.84,"(83.59368421052632, 79414, 95000)"
191,61.95,"(84.07789473684211, 79874, 95000)"
192,62.34,"(84.3957894736842, 80176, 95000)"
193,62.13,"(84.42105263157895, 80200, 95000)"
194,62.0,"(84.6978947368421, 80463, 95000)"
195,62.11,"(84.7357894736842, 80499, 95000)"
196,62.15,"(84.93894736842105, 80692, 95000)"
197,61.95,"(85.04105263157895, 80789, 95000)"
198,62.41,"(84.95473684210526, 80707, 95000)"
199,62.02,"(85.20105263157895, 80941, 95000)"
200,62.04,"(84.97473684210526, 80726, 95000)"
201,62.21,"(85.18526315789474, 80926, 95000)"
