Epoch,training_time
0,1567.7962687015533
1,438.914021730423
2,1021.2356605529785
3,728.5833704471588
4,249.0235879421234
5,181.85364151000977
6,172.42011213302612
7,172.2633411884308
8,172.11905431747437
9,172.15474247932434
10,439.9713394641876
11,550.3945829868317
12,431.03882217407227
13,721.3430750370026
14,936.7157518863678
15,1137.5289027690887
16,707.6753025054932
17,1000.5622277259827
18,500.14758348464966
19,1069.351520061493
20,819.1346933841705
21,678.1718235015869
22,831.3389146327972
23,529.0479960441589
24,674.4037880897522
25,591.94069480896
26,822.1760339736938
27,606.5312256813049
28,930.3766989707947
29,993.5148057937622
30,764.2686309814453
31,451.05771565437317
32,866.9467463493347
33,465.19108176231384
34,304.38203144073486
35,191.08899426460266
36,172.10450530052185
37,446.2504143714905
38,366.13034105300903
39,188.8137390613556
40,680.8459212779999
41,343.95043683052063
42,686.4838676452637
43,613.7918417453766
44,586.513322353363
45,362.90470480918884
46,211.49028182029724
47,594.7742736339569
48,345.4131193161011
49,652.3669145107269
50,367.8906919956207
51,202.1301245689392
52,182.80072689056396
53,172.8892912864685
54,725.7553741931915
55,877.4386074542999
56,760.9525501728058
57,519.2804284095764
58,664.7491307258606
59,259.9526560306549
60,199.09254264831543
61,177.99756121635437
62,519.782247543335
63,935.9353783130646
64,902.2303640842438
65,547.6862881183624
66,530.136470079422
67,245.1635138988495
68,194.38448405265808
69,768.6657552719116
70,274.1440272331238
71,711.2551381587982
72,453.0045576095581
73,715.7027924060822
74,576.8958678245544
75,495.02221965789795
76,650.6030786037445
77,806.0227708816528
78,347.6641821861267
79,569.6110787391663
80,668.3392295837402
81,351.4699399471283
82,345.572350025177
83,387.20182490348816
84,680.0501680374146
85,540.2392973899841
86,477.4468686580658
87,415.16038942337036
88,591.8087661266327
89,379.9319589138031
90,474.17653369903564
91,399.0721969604492
92,362.8619854450226
93,655.592710018158
94,364.53480648994446
95,860.1918787956238
96,860.1205399036407
97,838.8429119586945
98,856.3227696418762
99,887.4298553466797
