Epoch,test accuracy,training accuracy
0,6.89,"(4.193684210526316, 3984, 95000)"
1,13.4,"(10.629473684210526, 10098, 95000)"
2,16.3,"(16.456842105263156, 15634, 95000)"
3,21.57,"(21.71263157894737, 20627, 95000)"
4,25.31,"(26.605263157894736, 25275, 95000)"
5,26.2,"(30.090526315789475, 28586, 95000)"
6,32.58,"(32.97157894736842, 31323, 95000)"
7,31.74,"(35.28842105263158, 33524, 95000)"
8,29.96,"(37.35473684210526, 35487, 95000)"
9,33.73,"(38.66315789473684, 36730, 95000)"
10,37.54,"(39.823157894736845, 37832, 95000)"
11,41.03,"(40.83684210526316, 38795, 95000)"
12,37.12,"(41.949473684210524, 39852, 95000)"
13,40.85,"(42.61052631578947, 40480, 95000)"
14,36.17,"(43.07473684210526, 40921, 95000)"
15,38.81,"(43.892631578947366, 41698, 95000)"
16,35.34,"(44.48315789473684, 42259, 95000)"
17,36.97,"(44.72526315789474, 42489, 95000)"
18,43.82,"(45.067368421052635, 42814, 95000)"
19,37.21,"(45.794736842105266, 43505, 95000)"
20,43.2,"(45.909473684210525, 43614, 95000)"
21,41.0,"(46.21578947368421, 43905, 95000)"
22,39.1,"(46.358947368421056, 44041, 95000)"
23,39.67,"(46.78, 44441, 95000)"
24,41.19,"(46.84105263157895, 44499, 95000)"
25,34.89,"(47.39684210526316, 45027, 95000)"
26,38.37,"(47.461052631578944, 45088, 95000)"
27,35.61,"(47.75578947368421, 45368, 95000)"
28,38.5,"(48.05578947368421, 45653, 95000)"
29,41.94,"(48.07473684210526, 45671, 95000)"
30,41.88,"(48.294736842105266, 45880, 95000)"
31,44.4,"(48.37578947368421, 45957, 95000)"
32,41.24,"(48.70421052631579, 46269, 95000)"
33,38.89,"(48.73263157894737, 46296, 95000)"
34,42.18,"(48.95894736842105, 46511, 95000)"
35,41.16,"(49.114736842105266, 46659, 95000)"
36,44.47,"(49.25473684210527, 46792, 95000)"
37,44.92,"(49.45789473684211, 46985, 95000)"
38,41.03,"(49.60631578947368, 47126, 95000)"
39,44.15,"(49.991578947368424, 47492, 95000)"
40,43.85,"(50.009473684210526, 47509, 95000)"
41,40.99,"(50.113684210526316, 47608, 95000)"
42,44.8,"(50.22105263157895, 47710, 95000)"
43,45.05,"(50.03157894736842, 47530, 95000)"
44,43.19,"(50.22736842105263, 47716, 95000)"
45,40.6,"(50.40421052631579, 47884, 95000)"
46,43.47,"(50.536842105263155, 48010, 95000)"
47,36.04,"(50.986315789473686, 48437, 95000)"
48,47.95,"(50.86736842105263, 48324, 95000)"
49,42.64,"(50.80736842105263, 48267, 95000)"
50,44.92,"(51.16105263157895, 48603, 95000)"
51,43.85,"(51.55263157894737, 48975, 95000)"
52,48.25,"(51.666315789473686, 49083, 95000)"
53,42.25,"(51.53368421052632, 48957, 95000)"
54,46.85,"(51.68526315789474, 49101, 95000)"
55,39.5,"(51.937894736842104, 49341, 95000)"
56,47.31,"(52.24, 49628, 95000)"
57,49.65,"(52.298947368421054, 49684, 95000)"
58,46.2,"(52.22842105263158, 49617, 95000)"
59,46.89,"(52.473684210526315, 49850, 95000)"
60,43.7,"(52.783157894736846, 50144, 95000)"
61,42.46,"(52.65684210526316, 50024, 95000)"
62,47.78,"(52.950526315789475, 50303, 95000)"
63,43.59,"(53.24842105263158, 50586, 95000)"
64,46.94,"(53.182105263157894, 50523, 95000)"
65,46.14,"(53.26842105263158, 50605, 95000)"
66,39.2,"(53.491578947368424, 50817, 95000)"
67,46.49,"(53.351578947368424, 50684, 95000)"
68,43.9,"(53.717894736842105, 51032, 95000)"
69,46.46,"(53.793684210526315, 51104, 95000)"
70,47.54,"(53.88947368421053, 51195, 95000)"
71,48.86,"(54.18105263157895, 51472, 95000)"
72,49.15,"(54.01157894736842, 51311, 95000)"
73,52.29,"(54.47263157894737, 51749, 95000)"
74,50.86,"(54.62210526315789, 51891, 95000)"
75,45.71,"(54.62736842105263, 51896, 95000)"
76,47.2,"(54.845263157894735, 52103, 95000)"
77,49.81,"(54.82631578947368, 52085, 95000)"
78,51.77,"(55.27368421052632, 52510, 95000)"
79,50.18,"(55.22421052631579, 52463, 95000)"
80,47.34,"(55.48, 52706, 95000)"
81,46.25,"(55.52842105263158, 52752, 95000)"
82,53.23,"(55.85263157894737, 53060, 95000)"
83,51.48,"(56.16315789473684, 53355, 95000)"
84,52.01,"(56.357894736842105, 53540, 95000)"
85,53.3,"(56.322105263157894, 53506, 95000)"
86,49.33,"(56.55157894736842, 53724, 95000)"
87,48.91,"(56.97263157894737, 54124, 95000)"
88,52.98,"(56.991578947368424, 54142, 95000)"
89,48.98,"(57.28736842105263, 54423, 95000)"
90,48.88,"(57.58, 54701, 95000)"
91,50.78,"(57.54105263157895, 54664, 95000)"
92,54.37,"(57.77578947368421, 54887, 95000)"
93,52.97,"(57.950526315789475, 55053, 95000)"
94,55.14,"(58.14421052631579, 55237, 95000)"
95,48.33,"(58.102105263157895, 55197, 95000)"
96,55.9,"(58.183157894736844, 55274, 95000)"
97,53.71,"(58.718947368421055, 55783, 95000)"
98,55.81,"(58.629473684210524, 55698, 95000)"
99,56.66,"(58.76842105263158, 55830, 95000)"
