"Step","resnet_small_normal_small_imagenet_1714153876.1074147_rf_level_5_recording_200 - Test Accuracy","resnet_small_normal_small_imagenet_1714153876.1074147_rf_level_5_recording_200 - Test Accuracy__MIN","resnet_small_normal_small_imagenet_1714153876.1074147_rf_level_5_recording_200 - Test Accuracy__MAX"
"0","8.81","8.81","8.81"
"1","11.87","11.87","11.87"
"2","17.61","17.61","17.61"
"3","21.16","21.16","21.16"
"4","18.18","18.18","18.18"
"5","23.87","23.87","23.87"
"6","25.48","25.48","25.48"
"7","25.37","25.37","25.37"
"8","25.26","25.26","25.26"
"9","25.41","25.41","25.41"
"10","27.43","27.43","27.43"
"11","22.23","22.23","22.23"
"12","21.8","21.8","21.8"
"13","28.81","28.81","28.81"
"14","27.24","27.24","27.24"
"15","27.2","27.2","27.2"
"16","26.93","26.93","26.93"
"17","29.95","29.95","29.95"
"18","31.55","31.55","31.55"
"19","29.14","29.14","29.14"
"20","29.48","29.48","29.48"
"21","25.45","25.45","25.45"
"22","26.29","26.29","26.29"
"23","30.01","30.01","30.01"
"24","28.49","28.49","28.49"
"25","22.4","22.4","22.4"
"26","29.37","29.37","29.37"
"27","28.69","28.69","28.69"
"28","30.1","30.1","30.1"
"29","33.05","33.05","33.05"
"30","29.83","29.83","29.83"
"31","29.35","29.35","29.35"
"32","30.82","30.82","30.82"
"33","31.1","31.1","31.1"
"34","33.26","33.26","33.26"
"35","25.86","25.86","25.86"
"36","30.98","30.98","30.98"
"37","31.77","31.77","31.77"
"38","33.09","33.09","33.09"
"39","32","32","32"
"40","32.89","32.89","32.89"
"41","35.64","35.64","35.64"
"42","35.33","35.33","35.33"
"43","30.97","30.97","30.97"
"44","33.76","33.76","33.76"
"45","31.94","31.94","31.94"
"46","31.23","31.23","31.23"
"47","32.24","32.24","32.24"
"48","30.52","30.52","30.52"
"49","32.44","32.44","32.44"
"50","33.88","33.88","33.88"
"51","33.63","33.63","33.63"
"52","29.27","29.27","29.27"
"53","34.78","34.78","34.78"
"54","31.05","31.05","31.05"
"55","30.18","30.18","30.18"
"56","36.86","36.86","36.86"
"57","34.45","34.45","34.45"
"58","32.11","32.11","32.11"
"59","32.88","32.88","32.88"
"60","31.75","31.75","31.75"
"61","33.19","33.19","33.19"
"62","32.17","32.17","32.17"
"63","36.39","36.39","36.39"
"64","26.55","26.55","26.55"
"65","29.28","29.28","29.28"
"66","37.52","37.52","37.52"
"67","33.18","33.18","33.18"
"68","36.2","36.2","36.2"
"69","35.65","35.65","35.65"
"70","34.31","34.31","34.31"
"71","36.44","36.44","36.44"
"72","36.4","36.4","36.4"
"73","32.54","32.54","32.54"
"74","33.3","33.3","33.3"
"75","33.76","33.76","33.76"
"76","37.48","37.48","37.48"
"77","38.55","38.55","38.55"
"78","37.29","37.29","37.29"
"79","32.88","32.88","32.88"
"80","37.8","37.8","37.8"
"81","37.28","37.28","37.28"
"82","39.98","39.98","39.98"
"83","40.59","40.59","40.59"
"84","35.75","35.75","35.75"
"85","37.01","37.01","37.01"
"86","36.78","36.78","36.78"
"87","36.11","36.11","36.11"
"88","39.91","39.91","39.91"
"89","39.05","39.05","39.05"
"90","33.8","33.8","33.8"
"91","33.77","33.77","33.77"
"92","41.52","41.52","41.52"
"93","38.31","38.31","38.31"
"94","37.36","37.36","37.36"
"95","39.95","39.95","39.95"
"96","41.84","41.84","41.84"
"97","38.21","38.21","38.21"
"98","37.24","37.24","37.24"
"99","31.8","31.8","31.8"
"100","40.43","40.43","40.43"
"101","41.96","41.96","41.96"
"102","40.78","40.78","40.78"
"103","38.69","38.69","38.69"
"104","40.7","40.7","40.7"
"105","40.81","40.81","40.81"
"106","42.18","42.18","42.18"
"107","42.52","42.52","42.52"
"108","40","40","40"
"109","41.37","41.37","41.37"
"110","39.22","39.22","39.22"
"111","39.29","39.29","39.29"
"112","42.04","42.04","42.04"
"113","43.2","43.2","43.2"
"114","40.49","40.49","40.49"
"115","43.22","43.22","43.22"
"116","40.67","40.67","40.67"
"117","43.99","43.99","43.99"
"118","44.38","44.38","44.38"
