Epoch,test accuracy,training accuracy
144,37.21,"(47.344, 23672, 50000)"
145,38.08,"(47.24, 23620, 50000)"
146,35.51,"(47.45, 23725, 50000)"
147,36.32,"(47.466, 23733, 50000)"
148,44.25,"(47.718, 23859, 50000)"
149,42.6,"(47.168, 23584, 50000)"
150,41.45,"(47.964, 23982, 50000)"
151,42.91,"(47.994, 23997, 50000)"
152,39.92,"(47.818, 23909, 50000)"
153,37.03,"(47.996, 23998, 50000)"
154,38.38,"(47.622, 23811, 50000)"
155,42.67,"(47.968, 23984, 50000)"
156,41.14,"(47.888, 23944, 50000)"
157,41.16,"(47.77, 23885, 50000)"
158,43.98,"(47.846, 23923, 50000)"
159,39.4,"(48.4, 24200, 50000)"
160,43.02,"(47.822, 23911, 50000)"
161,39.48,"(48.178, 24089, 50000)"
162,44.57,"(48.248, 24124, 50000)"
163,36.17,"(48.142, 24071, 50000)"
164,41.82,"(48.136, 24068, 50000)"
165,39.48,"(48.288, 24144, 50000)"
166,39.12,"(48.344, 24172, 50000)"
167,40.63,"(48.36, 24180, 50000)"
168,37.82,"(48.444, 24222, 50000)"
169,41.44,"(48.544, 24272, 50000)"
170,36.1,"(48.626, 24313, 50000)"
171,35.52,"(48.566, 24283, 50000)"
172,36.91,"(48.606, 24303, 50000)"
173,43.46,"(48.502, 24251, 50000)"
174,37.97,"(49.01, 24505, 50000)"
175,35.93,"(48.79, 24395, 50000)"
176,43.17,"(48.978, 24489, 50000)"
177,41.95,"(48.77, 24385, 50000)"
178,40.33,"(49.048, 24524, 50000)"
179,37.57,"(49.066, 24533, 50000)"
180,40.19,"(49.014, 24507, 50000)"
181,36.05,"(49.34, 24670, 50000)"
182,42.58,"(49.288, 24644, 50000)"
183,44.46,"(49.298, 24649, 50000)"
184,42.37,"(49.396, 24698, 50000)"
185,35.93,"(49.542, 24771, 50000)"
186,40.21,"(49.354, 24677, 50000)"
187,42.8,"(49.414, 24707, 50000)"
188,40.95,"(49.388, 24694, 50000)"
189,43.39,"(49.706, 24853, 50000)"
190,41.03,"(49.548, 24774, 50000)"
191,40.44,"(49.566, 24783, 50000)"
192,41.4,"(49.874, 24937, 50000)"
193,38.22,"(50.0, 25000, 50000)"
194,41.11,"(49.862, 24931, 50000)"
195,39.54,"(49.708, 24854, 50000)"
196,41.07,"(49.97, 24985, 50000)"
197,39.74,"(50.02, 25010, 50000)"
198,39.94,"(50.112, 25056, 50000)"
199,42.25,"(50.002, 25001, 50000)"
200,44.25,"(50.192, 25096, 50000)"
201,44.5,"(50.214, 25107, 50000)"
202,43.89,"(50.498, 25249, 50000)"
203,43.67,"(50.494, 25247, 50000)"
204,40.74,"(50.372, 25186, 50000)"
205,43.6,"(50.542, 25271, 50000)"
206,41.7,"(50.442, 25221, 50000)"
207,40.92,"(50.374, 25187, 50000)"
208,44.62,"(50.382, 25191, 50000)"
209,44.84,"(50.992, 25496, 50000)"
210,42.95,"(50.838, 25419, 50000)"
211,42.04,"(51.378, 25689, 50000)"
212,41.42,"(51.114, 25557, 50000)"
213,43.74,"(51.122, 25561, 50000)"
214,44.04,"(50.872, 25436, 50000)"
215,42.44,"(51.09, 25545, 50000)"
216,44.91,"(51.266, 25633, 50000)"
217,47.31,"(51.258, 25629, 50000)"
218,39.49,"(51.586, 25793, 50000)"
219,41.4,"(51.362, 25681, 50000)"
220,46.38,"(51.582, 25791, 50000)"
221,43.14,"(51.564, 25782, 50000)"
222,42.94,"(51.526, 25763, 50000)"
223,43.39,"(51.766, 25883, 50000)"
224,40.06,"(51.702, 25851, 50000)"
225,42.71,"(51.642, 25821, 50000)"
226,44.95,"(51.826, 25913, 50000)"
227,41.6,"(51.938, 25969, 50000)"
228,44.56,"(52.094, 26047, 50000)"
229,42.06,"(52.246, 26123, 50000)"
230,45.8,"(52.32, 26160, 50000)"
231,42.49,"(52.622, 26311, 50000)"
232,39.85,"(52.448, 26224, 50000)"
233,43.13,"(52.562, 26281, 50000)"
234,42.97,"(52.654, 26327, 50000)"
235,42.1,"(52.854, 26427, 50000)"
236,43.26,"(52.84, 26420, 50000)"
237,40.06,"(52.954, 26477, 50000)"
238,44.01,"(52.71, 26355, 50000)"
239,42.15,"(53.274, 26637, 50000)"
240,46.15,"(53.208, 26604, 50000)"
241,43.44,"(53.17, 26585, 50000)"
242,47.9,"(53.234, 26617, 50000)"
243,41.01,"(53.33, 26665, 50000)"
244,43.19,"(53.408, 26704, 50000)"
245,44.14,"(53.692, 26846, 50000)"
246,43.65,"(53.67, 26835, 50000)"
247,45.05,"(53.694, 26847, 50000)"
248,42.8,"(53.99, 26995, 50000)"
249,44.87,"(53.988, 26994, 50000)"
250,45.91,"(54.12, 27060, 50000)"
251,47.65,"(53.942, 26971, 50000)"
252,43.53,"(54.046, 27023, 50000)"
253,44.32,"(54.404, 27202, 50000)"
254,38.74,"(54.42, 27210, 50000)"
255,43.55,"(54.432, 27216, 50000)"
256,43.99,"(54.848, 27424, 50000)"
257,44.34,"(54.892, 27446, 50000)"
258,46.44,"(55.32, 27660, 50000)"
259,45.66,"(54.968, 27484, 50000)"
260,44.77,"(54.968, 27484, 50000)"
261,46.54,"(55.618, 27809, 50000)"
262,44.32,"(54.856, 27428, 50000)"
263,43.46,"(55.364, 27682, 50000)"
264,46.04,"(55.736, 27868, 50000)"
265,43.39,"(56.086, 28043, 50000)"
266,45.9,"(56.048, 28024, 50000)"
267,46.47,"(56.066, 28033, 50000)"
268,42.62,"(56.216, 28108, 50000)"
269,48.22,"(56.014, 28007, 50000)"
270,45.89,"(56.502, 28251, 50000)"
271,47.52,"(56.632, 28316, 50000)"
272,43.96,"(56.944, 28472, 50000)"
273,45.31,"(56.868, 28434, 50000)"
274,45.15,"(57.062, 28531, 50000)"
275,45.36,"(57.232, 28616, 50000)"
276,46.54,"(57.352, 28676, 50000)"
277,47.02,"(57.39, 28695, 50000)"
278,45.86,"(57.674, 28837, 50000)"
279,43.71,"(57.65, 28825, 50000)"
280,44.35,"(57.932, 28966, 50000)"
281,43.17,"(57.944, 28972, 50000)"
282,45.06,"(58.624, 29312, 50000)"
283,45.98,"(58.456, 29228, 50000)"
284,45.31,"(58.598, 29299, 50000)"
285,46.31,"(58.612, 29306, 50000)"
286,43.78,"(58.758, 29379, 50000)"
287,42.34,"(58.956, 29478, 50000)"
288,46.89,"(59.394, 29697, 50000)"
289,48.19,"(59.15, 29575, 50000)"
290,47.54,"(59.096, 29548, 50000)"
291,45.77,"(59.926, 29963, 50000)"
292,46.71,"(60.17, 30085, 50000)"
293,46.03,"(59.938, 29969, 50000)"
294,44.93,"(60.55, 30275, 50000)"
295,46.43,"(60.892, 30446, 50000)"
296,48.97,"(60.782, 30391, 50000)"
297,45.42,"(61.232, 30616, 50000)"
298,47.54,"(61.318, 30659, 50000)"
299,46.66,"(61.27, 30635, 50000)"
300,44.63,"(61.834, 30917, 50000)"
301,45.97,"(62.198, 31099, 50000)"
302,47.98,"(62.234, 31117, 50000)"
303,44.09,"(62.604, 31302, 50000)"
304,45.67,"(62.752, 31376, 50000)"
305,47.15,"(63.054, 31527, 50000)"
306,47.34,"(63.384, 31692, 50000)"
307,46.47,"(63.334, 31667, 50000)"
308,46.71,"(63.518, 31759, 50000)"
309,46.85,"(63.818, 31909, 50000)"
310,49.28,"(64.332, 32166, 50000)"
311,48.5,"(64.134, 32067, 50000)"
312,45.75,"(64.774, 32387, 50000)"
313,47.52,"(65.414, 32707, 50000)"
314,45.54,"(65.136, 32568, 50000)"
315,46.33,"(66.082, 33041, 50000)"
316,46.91,"(66.198, 33099, 50000)"
317,44.93,"(66.574, 33287, 50000)"
318,48.16,"(66.736, 33368, 50000)"
319,46.49,"(66.72, 33360, 50000)"
320,47.76,"(67.498, 33749, 50000)"
321,46.47,"(67.928, 33964, 50000)"
322,44.73,"(68.254, 34127, 50000)"
