layer_names,pr
conv1,0.0
layer1.0.conv1,0.2565918
layer1.0.conv2,0.74713135
layer1.0.shortcut.0,0.3395996
layer2.0.conv1,0.28573608
layer2.0.conv2,0.59961617
layer2.0.shortcut.0,0.6647644
layer3.0.conv1,0.3497696
layer3.0.conv2,0.883447
layer3.0.shortcut.0,0.86193085
linear,0.0
