Epoch,test accuracy,training accuracy
144,84.57,"(90.472, 45236, 50000)"
145,85.19,"(90.508, 45254, 50000)"
146,84.83,"(90.846, 45423, 50000)"
147,84.89,"(90.722, 45361, 50000)"
148,82.92,"(91.084, 45542, 50000)"
149,85.57,"(91.394, 45697, 50000)"
150,83.1,"(91.336, 45668, 50000)"
151,84.9,"(91.696, 45848, 50000)"
152,85.3,"(91.702, 45851, 50000)"
153,84.43,"(91.938, 45969, 50000)"
154,85.48,"(91.976, 45988, 50000)"
155,84.55,"(92.3, 46150, 50000)"
156,84.84,"(92.438, 46219, 50000)"
157,85.47,"(92.66, 46330, 50000)"
158,85.64,"(92.716, 46358, 50000)"
159,85.61,"(93.004, 46502, 50000)"
160,85.43,"(93.292, 46646, 50000)"
161,86.47,"(93.562, 46781, 50000)"
162,86.3,"(93.852, 46926, 50000)"
163,85.98,"(93.778, 46889, 50000)"
164,86.75,"(93.944, 46972, 50000)"
165,86.66,"(94.118, 47059, 50000)"
166,86.75,"(94.328, 47164, 50000)"
167,86.31,"(94.594, 47297, 50000)"
168,86.87,"(94.854, 47427, 50000)"
169,86.55,"(94.96, 47480, 50000)"
170,86.98,"(95.242, 47621, 50000)"
171,86.55,"(95.308, 47654, 50000)"
172,87.42,"(95.584, 47792, 50000)"
173,87.26,"(95.912, 47956, 50000)"
174,87.27,"(95.992, 47996, 50000)"
175,87.43,"(96.176, 48088, 50000)"
176,87.85,"(96.188, 48094, 50000)"
177,87.59,"(96.574, 48287, 50000)"
178,87.73,"(96.718, 48359, 50000)"
179,87.6,"(96.67, 48335, 50000)"
180,87.67,"(96.952, 48476, 50000)"
181,87.71,"(97.086, 48543, 50000)"
182,87.95,"(97.282, 48641, 50000)"
183,87.94,"(97.272, 48636, 50000)"
184,87.78,"(97.57, 48785, 50000)"
185,87.83,"(97.612, 48806, 50000)"
186,87.93,"(97.644, 48822, 50000)"
187,87.84,"(97.68, 48840, 50000)"
188,87.93,"(97.83, 48915, 50000)"
189,88.11,"(97.882, 48941, 50000)"
190,88.15,"(97.974, 48987, 50000)"
191,88.16,"(97.954, 48977, 50000)"
192,88.28,"(98.002, 49001, 50000)"
193,88.17,"(98.064, 49032, 50000)"
194,88.19,"(98.182, 49091, 50000)"
195,88.36,"(98.212, 49106, 50000)"
196,88.12,"(98.182, 49091, 50000)"
197,88.27,"(98.132, 49066, 50000)"
198,88.11,"(98.192, 49096, 50000)"
199,88.16,"(98.108, 49054, 50000)"
