;name;train_acc;eval_acc
0;train-conv1;0.05468478615564375;0.056
1;train-layer1-0-conv1_1x1;0.0629480310319056;0.0718
2;train-layer1-0-conv2_1x1;0.06792703081085064;0.078
3;train-layer1-0-conv3_3x3;0.06492699923157086;0.0751
4;train-layer1-0-conv4_1x1;0.05583216665438583;0.0679
5;train-layer1-0-conv5_1x1;0.062105916904388464;0.0725
6;train-layer1-0-shortcut-0;0.11973810250634218;0.1388
7;train-layer2-0-conv1_1x1;0.20548637354077412;0.2192
8;train-layer2-0-conv2_1x1;0.16229644522573922;0.1799
9;train-layer2-0-conv3_3x3;0.18704407414814891;0.1959
10;train-layer2-0-conv4_1x1;0.18145454162675398;0.2009
11;train-layer2-0-conv5_1x1;0.1988547247865767;0.2191
12;train-layer2-0-shortcut-0;0.19123359193254666;0.2028
13;train-layer3-0-conv1_1x1;0.3054242676238697;0.3109
14;train-layer3-0-conv2_1x1;0.23885514584364045;0.2539
15;train-layer3-0-conv3_3x3;0.2599290518847567;0.273
16;train-layer3-0-conv4_1x1;0.279223991831493;0.2908
17;train-layer3-0-conv5_1x1;0.3077190286213539;0.3183
18;train-layer3-0-shortcut-0;0.29087674607101127;0.285
19;train-layer3-1-conv1_1x1;0.3573932357182707;0.3475
20;train-layer3-1-conv2_1x1;0.29378203981094536;0.2986
21;train-layer3-1-conv3_3x3;0.31463489089358837;0.3103
22;train-layer3-1-conv4_1x1;0.326771860756429;0.3193
23;train-layer3-1-conv5_1x1;0.36684596679965054;0.355
24;train-layer4-0-conv1_1x1;0.5208054821629702;0.4843
25;train-layer4-0-conv2_1x1;0.5092369393362035;0.4985
26;train-layer4-0-conv3_3x3;0.5922483394562048;0.5758
27;train-layer4-0-conv4_1x1;0.6061116432804556;0.5929
28;train-layer4-0-conv5_1x1;0.7567869135464583;0.666
29;train-layer4-0-shortcut-0;0.5448794197833662;0.4963
30;train-linear;0.7450499478941883;0.6732
