;name;train_acc;eval_acc
0;train-conv1;0.35864444444444443;0.3829
1;train-layer1-0-conv1;0.6027777777777777;0.632
2;train-layer1-0-conv2;0.6147111111111111;0.6441
3;train-layer1-0-conv3;0.6189333333333333;0.6451
4;train-layer1-0-shortcut-0;0.6142888888888889;0.6434
5;train-layer1-1-conv1;0.6556666666666666;0.6785
6;train-layer1-1-conv2;0.5532;0.5803
7;train-layer1-1-conv3;0.4820888888888889;0.4931
8;train-layer1-2-conv1;0.6763777777777777;0.6921
9;train-layer1-2-conv2;0.6061111111111112;0.6319
10;train-layer1-2-conv3;0.5150444444444444;0.543
11;train-layer2-0-conv1;0.7494222222222222;0.7519
12;train-layer2-0-conv2;0.7846222222222222;0.7709
13;train-layer2-0-conv3;0.7977555555555556;0.7858
14;train-layer2-0-shortcut-0;0.7393333333333333;0.7373
15;train-layer2-1-conv1;0.8071777777777778;0.8033
16;train-layer2-1-conv2;0.7714888888888889;0.7783
17;train-layer2-1-conv3;0.7482444444444445;0.7418
18;train-layer2-2-conv1;0.8397555555555556;0.8175
19;train-layer2-2-conv2;0.8254222222222222;0.8101
20;train-layer2-2-conv3;0.8193555555555555;0.7977
21;train-layer2-3-conv1;0.9002666666666667;0.861
22;train-layer2-3-conv2;0.8907555555555555;0.8501
23;train-layer2-3-conv3;0.8945777777777778;0.8445
24;train-layer3-0-conv1;0.9733333333333334;0.8955
25;train-layer3-0-conv2;0.9900666666666667;0.9071
26;train-layer3-0-conv3;0.9876444444444444;0.9069
27;train-layer3-0-shortcut-0;0.9208888888888889;0.8597
28;train-layer3-1-conv1;0.9862;0.9078
29;train-layer3-1-conv2;0.9708666666666667;0.8957
30;train-layer3-1-conv3;0.9356888888888889;0.8679
31;train-layer3-2-conv1;0.9889555555555556;0.9081
32;train-layer3-2-conv2;0.9685333333333334;0.8918
33;train-layer3-2-conv3;0.9406888888888889;0.8672
34;train-layer3-3-conv1;0.9885333333333334;0.9084
35;train-layer3-3-conv2;0.9387777777777778;0.859
36;train-layer3-3-conv3;0.8845111111111111;0.8128
37;train-layer3-4-conv1;0.9937555555555555;0.9128
38;train-layer3-4-conv2;0.9796888888888889;0.8921
39;train-layer3-4-conv3;0.9526222222222223;0.8645
40;train-layer3-5-conv1;0.9938888888888889;0.9099
41;train-layer3-5-conv2;0.9373777777777778;0.8435
42;train-layer3-5-conv3;0.8722444444444445;0.7798
43;train-layer4-0-conv1;0.9981777777777778;0.9174
44;train-layer4-0-conv2;0.9972222222222222;0.9153
45;train-layer4-0-conv3;0.9967111111111111;0.9155
46;train-layer4-0-shortcut-0;0.9977111111111111;0.915
47;train-layer4-1-conv1;0.9980222222222223;0.9191
48;train-layer4-1-conv2;0.8622666666666666;0.7876
49;train-layer4-1-conv3;0.7906888888888889;0.7272
50;train-layer4-2-conv1;0.9818222222222223;0.8893
51;train-layer4-2-conv2;0.34673333333333334;0.3255
52;train-layer4-2-conv3;0.3558;0.3314
53;train-linear;0.9987555555555555;0.9202
