Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,461919568.0,2.255589485168457,56.74,1.9877796173095703,52.19
0,55892267728.0,0.6046748757362366,87.64,0.5272634625434875,70.14
10,610195749328.0,0.16614489257335663,93.44,0.3441053628921509,73.73
20,1164499230928.0,0.12567703425884247,95.5,0.3612995147705078,74.41
30,1718802712528.0,0.10473807156085968,96.8,0.39326241612434387,74.67
40,2273106194128.0,0.11071831732988358,97.16,0.37677064538002014,74.87
50,2827409675728.0,0.10883750021457672,97.98,0.42702898383140564,75.03
60,3381713157328.0,0.13271856307983398,97.84,0.40768349170684814,74.97
70,3936016638928.0,0.10636459290981293,98.06,0.44296103715896606,75.06
80,4490320120528.0,0.09132314473390579,98.26,0.45845720171928406,75.2
90,5044623602128.0,0.10168959200382233,98.82,0.4264710247516632,75.32
100,5598927083728.0,0.11909373104572296,99.08,0.4613952934741974,75.1
101,5598927083728.0,0.11666800081729889,98.74,0.4613952934741974,75.1
