Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,29665331200.0,15.906336784362793,28.12,16.53166389465332,27.26
0,38561612800.0,12.914900779724121,46.86,14.580279350280762,44.06
10,127524428800.0,6.209030628204346,69.64,10.287369728088379,59.59
20,216487244800.0,5.033445358276367,75.74,9.363190650939941,62.82
30,305450060800.0,4.473074913024902,79.92,8.93432903289795,64.45
40,394412876800.0,5.0009565353393555,83.08,9.917278289794922,65.28
50,483375692800.0,4.34937047958374,85.48,9.10926628112793,65.86
60,572338508800.0,4.509214401245117,86.54,11.279862403869629,66.06
70,661301324800.0,4.963862895965576,88.56,11.599421501159668,66.24
80,750264140800.0,4.714531898498535,89.6,10.684680938720703,66.63
90,839226956800.0,4.479767799377441,90.52,12.005219459533691,66.53
100,919293491200.0,4.68118143081665,91.28,11.799050331115723,66.79
