Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,0,0.9387843608856201,3.1389329251396703e-06,77.02,0.8445048332214355,3.4559282084956067e-06,77.8
0,4331471520.0,0.5303693413734436,2.8999863843637286e-06,90.5,0.4520454406738281,2.5683675630716607e-06,87.11
10,47646186720.0,0.11326292902231216,6.266072432481451e-06,96.44,0.17574264109134674,4.429832642927067e-06,91.8
20,90960901920.0,0.12191754579544067,6.120206307969056e-06,96.36,0.1707935482263565,4.608259587257635e-06,91.91
30,134275617120.0,0.10254243016242981,5.921628599026008e-06,96.74,0.16812053322792053,5.019173840992153e-06,92.11
40,177590332320.0,0.0770491436123848,8.266035365522839e-06,97.28,0.15015189349651337,6.398404821084114e-06,92.45
50,220905047520.0,0.06389575451612473,9.948436854756437e-06,97.68,0.15437829494476318,7.444564744218951e-06,92.55
60,264219762720.0,0.06248899921774864,1.0922152796410955e-05,97.04,0.162503182888031,7.3862534009094816e-06,92.6
70,307534477920.0,0.0611441507935524,8.31361558084609e-06,97.34,0.15233874320983887,7.843669663998298e-06,92.65
80,350849193120.0,0.05701712891459465,9.439032510272227e-06,97.84,0.15359029173851013,9.420706192031503e-06,92.77
90,394163908320.0,0.05593418329954147,1.1979847840848379e-05,97.9,0.16481155157089233,1.0693558579077944e-05,92.86
