Pruning rate,Stochastic Performance,Stochastic Performance calculated,Sigma,Gradient Flow On Val post,Difference with deterministic,F2
0.931748714734029,28.16,29.74,0.00024283569917142527,55.40705490112305,-0.030000000000001137,0.931748714734029
0.8872868217412716,99.5,99.36,0.0006264812234360077,10.877364158630371,0.2600000000000051,0.8872868217412716
0.9248665352744199,29.9,29.84,0.0003338194528738172,58.4435920715332,-0.00999999999999801,0.9248665352744199
0.9756999591043093,10.62,9.88,0.007066132650907528,24.523540496826172,0.0,0.9756999591043093
0.9120489291690954,59.22,57.8,0.0010543621162504245,52.46016311645508,4.959999999999994,0.9120489291690954
0.9409634413210571,19.8,19.98,0.0028614706462067115,51.124786376953125,0.3299999999999983,0.9409634413210571
0.9105073403398619,60.48,60.48,0.00022567492060705335,49.26874923706055,0.9500000000000028,0.9105073403398619
0.8505145784818833,99.98,99.98,0.0003554337330338895,0.8254973888397217,0.0,0.8505145784818833
0.9803973373926962,9.94,10.18,0.003714584594540331,19.316360473632812,0.0,0.9803973373926962
0.8872868217412716,99.5,99.16,0.0008430374286143767,10.369067192077637,-0.04000000000000625,0.8872868217412716
0.9569945891995332,11.32,10.0,0.0005902150085466734,41.901241302490234,0.0,0.9569945891995332
0.9516552643057588,17.38,16.1,0.0017758298446436279,45.1025276184082,4.010000000000002,0.9516552643057588
0.815708061213835,100.0,99.98,0.00017407468143524195,0.1836017221212387,0.0,0.815708061213835
0.9896911105834432,9.86,9.98,0.0005902150085466734,7.073246002197266,0.0,0.9896911105834432
0.8979015874385444,90.5,89.36,0.0006678382734013669,22.231096267700195,-0.4900000000000091,0.8979015874385444
0.9172066164318026,41.62,40.18,0.0012006948952941567,58.55402374267578,5.759999999999998,0.9172066164318026
0.8779886341535617,99.92,99.88,0.0003013307467536604,4.913906574249268,0.01999999999999602,0.8779886341535617
0.8669367441528208,99.96,99.94,0.0010197735644137168,2.2845020294189453,-0.14000000000000057,0.8669367441528208
0.9797404066815346,10.48,9.56,0.0004152810092460024,20.469045639038086,0.0,0.9797404066815346
