Pruning rate,Stochastic Performance,Stochastic Performance calculated,Sigma,Gradient Flow On Val post,Difference with deterministic,F2
0.4893621141824701,99.84,99.82,0.0006622522296128492,2.1092591285705566,-0.12999999999999545,0.4893621141824701
0.8483748406818968,62.94,61.1,0.00046753022639233524,19.49812889099121,-0.01999999999999602,0.8483748406818968
0.7438778575788334,95.72,96.02,0.0003964949815520072,10.289410591125488,0.1799999999999926,0.7438778575788334
0.987155971186847,0.96,1.1,0.00027060268832640314,534.5189208984375,0.0,0.987155971186847
0.6044537442012958,99.66,99.5,0.000977585407132844,3.6431691646575928,-0.3400000000000034,0.6044537442012958
0.9698286507123252,1.48,1.14,0.001386848690892489,613.699462890625,0.050000000000000044,0.9698286507123252
0.79510032119039,86.7,87.14,0.0014745705202974886,14.254220008850098,-0.7399999999999949,0.79510032119039
0.8408246415471224,64.3,63.42,0.0021857752663787472,18.81598663330078,-1.0700000000000003,0.8408246415471224
0.8900897386417546,29.02,29.16,0.0004421324864650876,20.37291717529297,0.16000000000000014,0.8900897386417546
0.8091913956327347,83.6,83.54,0.0004793893798596505,15.683276176452637,0.12000000000000455,0.8091913956327347
0.3490765865542225,99.92,99.86,0.0003095822279206798,1.441114902496338,-0.12999999999999545,0.3490765865542225
0.7039945301036417,98.36,98.46,0.0004936575373632723,7.644898414611816,0.09999999999999432,0.7039945301036417
0.960478231246989,1.64,1.0,0.0001523936903023747,597.622314453125,-0.09000000000000008,0.960478231246989
0.8074054450054543,83.86,82.64,0.001386848690892489,15.580155372619629,-1.2800000000000011,0.8074054450054543
0.5570645719225068,99.78,99.72,0.00010436036764004552,2.9821348190307617,-0.0799999999999983,0.5570645719225068
0.9786332406250083,1.2,1.14,0.002795341098157401,893.126953125,-0.030000000000000027,0.9786332406250083
0.6827187854806772,98.94,98.96,0.00039315732085843644,6.734999656677246,0.09000000000000341,0.6827187854806772
0.9714698125882677,1.28,1.5,0.004093517907527399,530.3878173828125,0.1499999999999999,0.9714698125882677
0.43025385056778337,99.86,99.8,0.00013117574574766897,1.693485140800476,-0.030000000000001137,0.43025385056778337
0.9264016290964968,3.94,3.16,0.00041920760463813616,178.01925659179688,0.020000000000000018,0.9264016290964968
0.6396514405496175,99.46,99.34,0.0004936575373632723,4.7596588134765625,0.030000000000001137,0.6396514405496175
0.6565270670780012,99.06,99.14,0.000115443330267149,5.44425630569458,0.010000000000005116,0.6565270670780012
0.7174956657364666,97.04,96.86,0.001651407880653631,8.711198806762695,-0.5700000000000074,0.7174956657364666
0.9193295468693701,5.88,6.3,0.0007376576598520469,78.75757598876953,0.35999999999999943,0.9193295468693701
0.9109672043825388,15.68,12.62,0.004813457324345569,40.198883056640625,2.0700000000000003,0.9109672043825388
0.7809330442549096,90.54,90.88,0.000977585407132844,12.995406150817871,-0.45999999999999375,0.7809330442549096
0.3906311967018999,99.9,99.86,0.00043519538012820423,1.442035436630249,0.09000000000000341,0.3906311967018999
