layer_names,pr
features.0,0.0
features.4,0.07367621
features.8,0.028618706
features.11,0.03245036
features.15,0.035929363
features.18,0.050976224
features.21,0.077653676
features.24,0.14664374
features.28,0.32409415
features.31,0.5887871
features.34,0.782096
features.37,0.90666157
features.40,0.9358711
features.43,0.88941616
features.46,0.8192198
features.49,0.77758026
classifier,0.0
