Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,237570496.0,0.30716124176979065,97.36,0.25896087288856506,92.46
0,28746030016.0,0.115036241710186,99.12,0.16487903892993927,93.67
10,313830625216.0,0.05954793095588684,99.32,0.1370382457971573,93.88
20,598915220416.0,0.04577178508043289,99.6,0.13930073380470276,93.86
30,883999815616.0,0.039849840104579926,99.44,0.13687843084335327,93.87
40,1169084410816.0,0.030639948323369026,99.68,0.13571348786354065,93.98
50,1454169006016.0,0.04353921487927437,99.64,0.15283377468585968,93.93
60,1739253601216.0,0.040141839534044266,99.6,0.15356670320034027,93.92
70,2024338196416.0,0.0372195728123188,99.6,0.14116591215133667,94.04
80,2309422791616.0,0.027975980192422867,99.8,0.14907945692539215,94.07
90,2594507386816.0,0.037962477654218674,99.74,0.1737661361694336,94.07
100,2879591982016.0,0.0279547031968832,99.76,0.14556972682476044,94.05
101,2879591982016.0,0.030912863090634346,99.68,0.14556968212127686,94.05
