Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,143946688.0,0.8371273279190063,3.8316779864544515e-06,82.74,0.7379614114761353,3.836834366666153e-06,81.28
0,4462347328.0,0.4604329466819763,2.735775979090249e-06,92.0,0.3888597786426544,2.379261559326551e-06,89.26
10,47646353728.0,0.12549437582492828,3.323364580865018e-06,97.3,0.16762016713619232,3.6823066693614237e-06,92.18
20,90830360128.0,0.10753782093524933,3.7142267501621973e-06,97.16,0.168411523103714,3.854360329569317e-06,92.31
30,134014366528.0,0.09476472437381744,4.0456779970554635e-06,97.38,0.16243702173233032,4.2403603401908185e-06,92.44
40,177198372928.0,0.0711311623454094,5.2368118304002564e-06,97.6,0.1533256471157074,5.500356564880349e-06,92.69
50,220382379328.0,0.06068249046802521,7.6627902672044e-06,97.88,0.13867856562137604,7.126081072783563e-06,92.86
60,263566385728.0,0.058284491300582886,7.62216632210766e-06,97.96,0.13954879343509674,7.312808975257212e-06,92.91
70,306750392128.0,0.0673636943101883,6.587750249309465e-06,97.88,0.13996265828609467,7.761318556731567e-06,92.92
80,349934398528.0,0.0529949925839901,1.0659516192390583e-05,98.28,0.1518925279378891,9.208454684994649e-06,92.91
90,393118404928.0,0.053419653326272964,1.0604358976706862e-05,97.96,0.14638572931289673,1.05221461126348e-05,92.94
