Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,143488336.0,0.8725342154502869,3.891400410793722e-06,80.06,0.8085811734199524,3.415548462726292e-06,79.09
0,4448138416.0,0.4522269368171692,2.6874672585108783e-06,91.8,0.41356149315834045,2.5055137484741863e-06,88.22
10,47494639216.0,0.13411961495876312,3.7497864013857907e-06,97.36,0.1494436264038086,2.708390866246191e-06,92.17
20,90541140016.0,0.11992869526147842,3.605701067499467e-06,97.1,0.14295139908790588,2.9070167784084333e-06,92.14
30,133587640816.0,0.11291424930095673,2.3368161237158347e-06,97.3,0.13521869480609894,3.3301948860753328e-06,92.26
40,176634141616.0,0.0876849815249443,4.3836948862008285e-06,97.52,0.12192926555871964,4.773069122165907e-06,92.51
50,219680642416.0,0.07432195544242859,5.700700967281591e-06,97.9,0.11184024810791016,6.553245384566253e-06,92.62
60,262727143216.0,0.06138096749782562,6.5243252720392775e-06,97.6,0.11065859347581863,6.68166558170924e-06,92.64
70,305773644016.0,0.06842145323753357,6.879117790958844e-06,98.06,0.1104327142238617,7.079457191139227e-06,92.66
80,348820144816.0,0.062174130231142044,7.137164175219368e-06,97.7,0.12186171114444733,8.640912710689008e-06,92.63
90,391866645616.0,0.05659647285938263,9.360734111396596e-06,98.32,0.111663319170475,1.0926409231615253e-05,92.71
