Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,161474032.0,0.5519595146179199,9.793858453122084e-07,55.72,0.5452432036399841,1.3568177337219822e-06,57.86
0,5005694992.0,0.501439094543457,1.0317538681192673e-06,60.0,0.4991675615310669,1.2527510762083693e-06,62.76
10,53447904592.0,0.2283233404159546,5.766528943240701e-07,88.48,0.2335059940814972,7.211482397906366e-07,85.79
20,101890114192.0,0.2175309807062149,6.422757792279299e-07,88.88,0.22701847553253174,7.572728009108687e-07,86.02
30,150332323792.0,0.2140619307756424,7.181394607869152e-07,88.68,0.21996630728244781,8.285133503704856e-07,86.0
40,198774533392.0,0.1914648860692978,1.0536896297708154e-06,88.64,0.19972427189350128,1.333327304564591e-06,86.07
50,247216742992.0,0.17324818670749664,2.3045590751280542e-06,88.72,0.18544238805770874,2.109957222273806e-06,86.13
60,295658952592.0,0.16992011666297913,2.3581583263876382e-06,88.7,0.1817881315946579,2.2740964595868718e-06,86.14
70,344101162192.0,0.16100944578647614,2.1456903596117627e-06,88.72,0.176244854927063,2.5553861178195802e-06,86.26
80,392543371792.0,0.14503026008605957,3.2299055874318583e-06,88.86,0.16142886877059937,3.7501813494600356e-06,86.74
90,440985581392.0,0.1308976411819458,3.5086968637187965e-06,89.6,0.15761753916740417,4.936154709866969e-06,86.99
