Epoch,test accuracy,training accuracy
-1,89.01,97.94888888888889
0,89.03,98.18
1,88.93,92.02
2,88.83,91.98666666666666
3,88.67,91.92
4,88.81,91.96
5,88.61,91.92
6,88.9,91.85333333333334
7,88.05,91.94666666666667
8,88.16,91.39333333333333
9,88.13,91.56666666666666
