PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.9957416252447692,0.09000000000000341,38.71
0.8,0.003,0.999999997373801,2.259999999999998,38.71
0.8,0.005,0.999999999940505,7.115000000000002,38.71
0.85,0.001,0.8806477019186845,0.03999999999999915,37.23
0.85,0.003,0.9999999995069803,4.085000000000001,37.23
0.85,0.005,0.9999999999992943,13.994999999999997,37.23
0.9,0.001,8.885592203109368e-05,-0.5550000000000033,20.06
0.9,0.003,0.9999999910871848,2.6149999999999984,20.06
0.9,0.005,0.9999999999999287,13.694999999999999,20.06
0.95,0.001,0.9199074324520101,0.030000000000000027,0.87
0.95,0.003,0.9999883363258344,0.18999999999999995,0.87
0.95,0.005,0.999999918690392,0.26,0.87
