PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.11360447473846262,-0.01999999999999602,93.58
0.8,0.003,0.9997666423574351,0.3500000000000085,93.58
0.8,0.005,0.9999999630597276,1.8149999999999977,93.58
0.85,0.001,0.0864833310193943,-0.030000000000001137,93.34
0.85,0.003,0.9999995073188283,0.5,93.34
0.85,0.005,0.999999995453181,3.219999999999999,93.34
0.9,0.001,0.016417587179883945,-0.11499999999999488,91.45
0.9,0.003,0.9983174992419748,0.5050000000000097,91.45
0.9,0.005,0.9999977948364943,6.2450000000000045,91.45
0.95,0.001,0.9958195948218064,1.8049999999999997,44.0
0.95,0.003,0.012344129851451177,-1.7950000000000017,44.0
0.95,0.005,0.7718810945891017,1.5100000000000051,44.0
