PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.12201137860163236,-0.7650000000000006,37.04
0.8,0.003,0.9591310080305084,0.740000000000002,37.04
0.8,0.005,0.9997479762740069,4.6399999999999935,37.04
0.85,0.001,6.278141478446423e-05,-1.2299999999999986,13.56
0.85,0.003,0.0003603077313472218,-1.6850000000000005,13.56
0.85,0.005,0.9298892786794308,0.7650000000000006,13.56
0.9,0.001,0.0011478640979906225,-0.375,2.95
0.9,0.003,0.00491420053206951,-0.3799999999999999,2.95
0.9,0.005,0.00137279169272201,-0.47499999999999964,2.95
0.95,0.001,0.05107163613258287,-0.06500000000000006,0.88
0.95,0.003,0.3880355217877856,0.07500000000000007,0.88
0.95,0.005,0.047024517197172565,-0.2499999999999999,0.88
