PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.8899434881455154,0.32499999999999574,35.37
0.8,0.003,0.8623933202013506,0.34499999999999886,35.37
0.8,0.005,0.9971223617625617,3.644999999999996,35.37
0.85,0.001,0.9629050842588809,0.2400000000000002,12.43
0.85,0.003,0.12822432352216878,-0.5599999999999987,12.43
0.85,0.005,0.6487076211933609,0.14499999999999957,12.43
0.9,0.001,0.057974318546977294,-0.1349999999999998,3.47
0.9,0.003,0.019458601816420718,-0.2849999999999997,3.47
0.9,0.005,0.9916748236307807,0.3350000000000004,3.47
0.95,0.001,0.0017059527002533867,-0.13,0.62
0.95,0.003,0.005081217753279856,-0.10999999999999999,0.62
0.95,0.005,0.05021024442391363,-0.03500000000000003,0.62
