PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.5757217053578928,-0.030000000000001137,90.59
0.8,0.003,0.9999999242238993,0.730000000000004,90.59
0.8,0.005,0.9999999702884366,3.530000000000001,90.59
0.85,0.001,0.1873194787958255,-0.020000000000010232,90.57
0.85,0.003,0.9999999973256632,1.6449999999999818,90.57
0.85,0.005,0.999999996267168,8.24499999999999,90.57
0.9,0.001,0.9998951876641285,0.0899999999999892,90.52
0.9,0.003,0.9999999984177548,6.759999999999991,90.52
0.9,0.005,0.9999999999992669,34.205,90.52
0.95,0.001,4.6997034419803437e-08,-3.9750000000000014,32.99
0.95,0.003,0.0017256899502809684,-1.7550000000000026,32.99
0.95,0.005,0.9999999999784398,6.650000000000002,32.99
