PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.004642642890600195,-1.4000000000000057,36.22
0.8,0.003,4.544378254638398e-06,-2.3900000000000006,36.22
0.8,0.005,0.6191311236355364,0.10999999999999943,36.22
0.85,0.001,0.8198088981667242,0.10500000000000043,22.05
0.85,0.003,0.03379558186897672,-0.4599999999999973,22.05
0.85,0.005,0.7413754827681385,0.45500000000000185,22.05
0.9,0.001,0.5000000000000017,0.1200000000000001,6.53
0.9,0.003,0.6297385863823517,-0.27499999999999947,6.53
0.9,0.005,0.450607795624959,0.15500000000000025,6.53
0.95,0.001,0.25158186331820087,0.0050000000000000044,0.56
0.95,0.003,0.020057957777081276,-0.125,0.56
0.95,0.005,0.0030050980567364323,-0.24,0.56
