PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.9229044756222519,0.2049999999999983,40.57
0.8,0.003,0.734206251810787,0.40500000000000114,40.57
0.8,0.005,0.9991488796802107,1.8200000000000003,40.57
0.85,0.001,0.2455581277665304,-0.21999999999999886,18.79
0.85,0.003,0.0016270895951174525,-1.7000000000000028,18.79
0.85,0.005,0.5079402629687321,0.5,18.79
0.9,0.001,0.8157729448685013,0.21999999999999975,5.6
0.9,0.003,0.829481247128292,0.17499999999999893,5.6
0.9,0.005,0.625946499048669,0.024999999999999467,5.6
0.95,0.001,0.02578683245664792,-0.07499999999999996,0.81
0.95,0.003,0.038914850948935736,-0.15999999999999992,0.81
0.95,0.005,0.0021745614948320818,-0.45999999999999996,0.81
