PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.9995749739442842,0.384999999999998,48.32
0.8,0.003,0.9975743197726049,1.0399999999999991,48.32
0.8,0.005,0.9999999670194947,4.914999999999999,48.32
0.85,0.001,0.007641682365628743,-0.3199999999999932,39.92
0.85,0.003,0.5154358270399417,0.005000000000002558,39.92
0.85,0.005,0.9999864849056401,3.0400000000000063,39.92
0.9,0.001,0.7272447742479522,-0.019999999999999574,22.34
0.9,0.003,0.9999269363547482,1.3249999999999993,22.34
0.9,0.005,0.9999616983469269,2.514999999999997,22.34
0.95,0.001,0.8403182128481406,0.19499999999999984,3.09
0.95,0.003,0.7451364544861672,0.10499999999999954,3.09
0.95,0.005,0.991757662785491,0.585,3.09
