PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.4789466794614818,-0.02499999999999858,42.98
0.8,0.003,0.9999999788762813,2.184999999999995,42.98
0.8,0.005,0.9999999994794551,6.579999999999991,42.98
0.85,0.001,0.0005561628004922714,-0.27999999999999403,39.99
0.85,0.003,0.9999998888405931,2.039999999999999,39.99
0.85,0.005,0.9999999999311071,9.085,39.99
0.9,0.001,4.0579443919699376e-07,-0.7399999999999984,18.71
0.9,0.003,1.3498286895202485e-06,-1.9499999999999993,18.71
0.9,0.005,0.9999999995612877,6.135000000000002,18.71
0.95,0.001,0.9874645390634078,0.025000000000000022,0.62
0.95,0.003,0.2512457180156236,0.0050000000000000044,0.62
0.95,0.005,0.029409148477004127,-0.06999999999999995,0.62
