PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.9434835178277909,0.4199999999999946,38.82
0.8,0.003,0.9938419784288632,1.4799999999999969,38.82
0.8,0.005,0.9999494015417458,5.380000000000003,38.82
0.85,0.001,0.0201366534463204,-0.3999999999999986,18.35
0.85,0.003,0.9837230539485071,1.0500000000000007,18.35
0.85,0.005,0.9987620546705107,1.990000000000002,18.35
0.9,0.001,0.3572514818756103,0.004999999999999893,5.09
0.9,0.003,0.42809251435882245,0.25,5.09
0.9,0.005,0.9978773733104626,0.8399999999999999,5.09
0.95,0.001,0.010134941350409652,-0.15999999999999992,1.08
0.95,0.003,0.002905877460243746,-0.20500000000000007,1.08
0.95,0.005,0.993183561118068,0.2500000000000001,1.08
