PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.9999999999961154,2.670000000000016,90.43
0.8,0.003,1.0,49.42,90.43
0.8,0.005,0.9999999999999809,77.61000000000001,90.43
0.85,0.001,0.9999999999278496,12.210000000000008,83.29
0.85,0.003,1.0,57.55500000000001,83.29
0.85,0.005,1.0,73.29,83.29
0.9,0.001,0.9971563313617747,0.28999999999999204,40.16
0.9,0.003,1.0,30.159999999999997,40.16
0.9,0.005,1.0,30.159999999999997,40.16
0.95,0.001,,0.0,10.0
0.95,0.003,,0.0,10.0
0.95,0.005,,0.0,10.0
