PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,6.44181442903275e-05,-1.1950000000000003,10.1
0.8,0.003,5.11554173615899e-07,-4.825000000000001,10.1
0.8,0.005,0.9724125847253419,0.7349999999999994,10.1
0.85,0.001,0.008310330797223452,-0.135,1.5
0.85,0.003,4.300305248308264e-05,-1.0099999999999998,1.5
0.85,0.005,0.34776186799413755,-0.020000000000000018,1.5
0.9,0.001,0.07420428547711135,0.0,0.5
0.9,0.003,0.03232239021272145,0.0,0.5
0.9,0.005,0.004098465135220387,-0.12,0.5
0.95,0.001,,0.0,0.5
0.95,0.003,0.14854539104320622,0.0,0.5
0.95,0.005,0.06671424480400315,0.0,0.5
