PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.9999998773823187,0.5100000000000051,88.21
0.8,0.003,0.999999999297798,2.9949999999999903,88.21
0.8,0.005,0.9999998889029666,26.334999999999994,88.21
0.85,0.001,0.9999999996196488,0.7149999999999892,88.21
0.85,0.003,0.9999999841592269,5.855000000000004,88.21
0.85,0.005,0.9999999999681628,37.754999999999995,88.21
0.9,0.001,0.9999999999706609,1.0600000000000023,88.11
0.9,0.003,0.9999999974596928,22.625,88.11
0.9,0.005,0.9999999999879159,54.68,88.11
0.95,0.001,0.19858954261152517,-0.29000000000000625,82.96
0.95,0.003,0.9999999999984991,55.30499999999999,82.96
0.95,0.005,0.9999999999999999,72.55,82.96
