pr_from_features.49_to_features.49,layer_names,pr_from_features.46_to_features.49,pr_from_features.43_to_features.49,pr_from_features.40_to_features.49,pr_from_features.37_to_features.49,pr_from_features.34_to_features.49,pr_from_features.31_to_features.49,pr_from_features.28_to_features.49,pr_from_features.24_to_features.49,pr_from_features.21_to_features.49,pr_from_features.18_to_features.49,pr_from_features.15_to_features.49,pr_from_features.11_to_features.49,pr_from_features.8_to_features.49
0.0,features.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016425239
0.0,features.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017001681,0.019463433
0.0,features.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03564114,0.04631551,0.052320693
0.0,features.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11338976,0.17729017,0.21410625,0.23368157
0.0,features.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2620629,0.4075521,0.4972941,0.54401654,0.5677541
0.0,features.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2134552,0.3558909,0.5813412,0.687856,0.73516506,0.7565681
0.0,features.28,0.0,0.0,0.0,0.0,0.0,0.0,0.9074249,0.93706596,0.9684321,0.9817946,0.9856796,0.9875141,0.9882897
0.0,features.31,0.0,0.0,0.0,0.0,0.0,0.9251548,0.9238345,0.96791375,0.9867257,0.9952774,0.9972322,0.99776626,0.99793077
4.2385525e-07,features.34,4.2385525e-07,4.2385525e-07,4.2385525e-07,4.2385525e-07,0.920422,0.9104042,0.9093259,0.95491576,0.9790942,0.9932217,0.9956949,0.996354,0.99653584
0.0,features.37,0.0,0.0,0.0,0.91689557,0.9073368,0.8994247,0.8987541,0.9358898,0.96186405,0.98283684,0.98760056,0.98898697,0.98957443
0.0,features.40,0.0,0.0,0.91741943,0.9068527,0.90028167,0.89525306,0.8947864,0.9138302,0.93822014,0.9598563,0.96759075,0.9709714,0.9725422
0.0,features.43,0.0,0.9109692,0.9004398,0.89583164,0.8925701,0.89091957,0.89077884,0.89885205,0.90847695,0.9238548,0.93363446,0.93879485,0.9414389
0.0,features.46,0.9022556,0.89615464,0.89179444,0.8905559,0.88966876,0.8892157,0.8891852,0.8915092,0.8948996,0.9041316,0.9117936,0.91659206,0.9192107
0.89999986,features.49,0.8977445,0.8928761,0.8903465,0.8898642,0.8897205,0.8896281,0.88962257,0.8901927,0.8920148,0.89935344,0.90604866,0.91035336,0.9127265
0.0,classifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
