Epoch,test accuracy,training accuracy
144,89.19,"(95.326, 47663, 50000)"
145,90.21,"(95.238, 47619, 50000)"
146,88.66,"(95.628, 47814, 50000)"
147,89.52,"(95.792, 47896, 50000)"
148,90.05,"(95.978, 47989, 50000)"
149,90.65,"(95.994, 47997, 50000)"
150,90.4,"(96.246, 48123, 50000)"
151,90.67,"(96.408, 48204, 50000)"
152,89.78,"(96.566, 48283, 50000)"
153,90.65,"(96.84, 48420, 50000)"
154,90.78,"(96.834, 48417, 50000)"
155,90.64,"(97.05, 48525, 50000)"
156,91.1,"(97.088, 48544, 50000)"
157,90.38,"(97.39, 48695, 50000)"
158,91.3,"(97.616, 48808, 50000)"
159,90.96,"(97.646, 48823, 50000)"
160,91.62,"(97.81, 48905, 50000)"
161,91.08,"(97.946, 48973, 50000)"
162,92.12,"(98.098, 49049, 50000)"
163,92.06,"(98.424, 49212, 50000)"
164,92.36,"(98.3, 49150, 50000)"
165,92.67,"(98.508, 49254, 50000)"
166,92.17,"(98.742, 49371, 50000)"
167,92.72,"(98.948, 49474, 50000)"
168,92.0,"(99.004, 49502, 50000)"
169,92.21,"(99.038, 49519, 50000)"
170,92.51,"(99.166, 49583, 50000)"
171,92.76,"(99.238, 49619, 50000)"
172,92.85,"(99.428, 49714, 50000)"
173,92.8,"(99.426, 49713, 50000)"
174,93.34,"(99.58, 49790, 50000)"
175,93.1,"(99.568, 49784, 50000)"
176,93.17,"(99.692, 49846, 50000)"
177,93.48,"(99.7, 49850, 50000)"
178,93.42,"(99.73, 49865, 50000)"
179,93.42,"(99.764, 49882, 50000)"
180,93.54,"(99.834, 49917, 50000)"
181,93.65,"(99.838, 49919, 50000)"
182,93.74,"(99.846, 49923, 50000)"
183,93.69,"(99.89, 49945, 50000)"
184,93.84,"(99.894, 49947, 50000)"
185,93.96,"(99.924, 49962, 50000)"
186,93.96,"(99.896, 49948, 50000)"
187,94.07,"(99.92, 49960, 50000)"
188,94.02,"(99.93, 49965, 50000)"
189,94.18,"(99.942, 49971, 50000)"
190,94.08,"(99.926, 49963, 50000)"
191,94.12,"(99.944, 49972, 50000)"
192,94.11,"(99.948, 49974, 50000)"
193,94.08,"(99.956, 49978, 50000)"
194,94.05,"(99.952, 49976, 50000)"
195,94.06,"(99.956, 49978, 50000)"
196,94.16,"(99.958, 49979, 50000)"
197,94.13,"(99.97, 49985, 50000)"
198,94.24,"(99.966, 49983, 50000)"
199,94.24,"(99.968, 49984, 50000)"
