Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,114676672.0,0.5030620694160461,1.0153560197068145e-06,83.48,0.45349064469337463,1.3561912055592984e-06,82.72
0,3554976832.0,0.44118639826774597,9.432089314032055e-07,87.24,0.40945255756378174,1.1800215133916936e-06,85.52
10,37957978432.0,0.24843966960906982,7.682575073886255e-07,95.46,0.2551290988922119,7.9242289530157e-07,91.0
20,72360980032.0,0.23684939742088318,6.234653255887679e-07,94.98,0.24478769302368164,7.9598561342209e-07,90.85
30,106763981632.0,0.22225376963615417,6.964428393985145e-07,95.24,0.23346057534217834,8.19114291061851e-07,90.83
40,141166983232.0,0.19222292304039001,8.222290261983289e-07,94.58,0.206319659948349,1.079309981832921e-06,90.6
50,175569984832.0,0.1701555848121643,1.5500613699259702e-06,94.44,0.18486732244491577,1.6159118558789487e-06,90.6
60,209972986432.0,0.16407521069049835,1.61427863076824e-06,94.04,0.1818801909685135,1.7449535789637594e-06,90.55
70,244375988032.0,0.1597687304019928,2.1284595277393237e-06,93.64,0.1752227395772934,1.9667700144054834e-06,90.62
80,278778989632.0,0.13366930186748505,2.488341351636336e-06,93.64,0.1565013825893402,2.9394086595857516e-06,90.51
90,313181991232.0,0.11782557517290115,3.270861043347395e-06,94.06,0.14932365715503693,4.078022811881965e-06,90.59
