Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,152810176.0,0.5377599000930786,1.4137418702375726e-06,85.82,0.49379414319992065,1.8432810975355096e-06,83.52
0,4737115456.0,0.4136396646499634,1.7116323078880669e-06,90.06,0.3908678889274597,1.5921342537694727e-06,86.82
10,50580168256.0,0.19076445698738098,1.3435109167403425e-06,94.24,0.20347309112548828,1.2190319012006512e-06,90.08
20,96423221056.0,0.18361572921276093,1.4447006151385722e-06,93.76,0.19416649639606476,1.3030751233600313e-06,90.21
30,142266273856.0,0.17462743818759918,1.3262040283734677e-06,94.2,0.18334786593914032,1.500127041254018e-06,90.23
40,188109326656.0,0.13553138077259064,2.553906597313471e-06,94.86,0.15512023866176605,2.299023890373064e-06,90.2
50,233952379456.0,0.11385246366262436,2.4473217763443245e-06,94.72,0.1371002048254013,3.144939455523854e-06,90.38
60,279795432256.0,0.11136947572231293,3.694841325341258e-06,94.86,0.1332913041114807,3.3673748021101346e-06,90.36
70,325638485056.0,0.11153744906187057,3.3159105896629626e-06,94.6,0.12858512997627258,3.676409050967777e-06,90.44
80,371481537856.0,0.09491777420043945,3.084229092564783e-06,95.26,0.12355608493089676,4.654018539440585e-06,90.54
90,417324590656.0,0.08796578645706177,4.439673830347601e-06,95.26,0.1175079420208931,5.816219072585227e-06,90.8
