Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,235004032.0,2.5636703968048096,54.02,2.104221820831299,49.64
0,28435487872.0,0.6267999410629272,92.48,0.5227860808372498,72.0
10,310440326272.0,0.1565495878458023,97.02,0.36812829971313477,74.65
20,592445164672.0,0.12056761980056763,97.72,0.3727271556854248,75.62
30,874450003072.0,0.1017984002828598,98.46,0.3656771779060364,75.88
40,1156454841472.0,0.09128870815038681,98.62,0.3541716933250427,76.22
50,1438459679872.0,0.0681280568242073,98.98,0.40167343616485596,76.08
60,1720464518272.0,0.07784505188465118,99.34,0.42417511343955994,76.17
70,2002469356672.0,0.07768365740776062,99.38,0.42444127798080444,76.38
80,2284474195072.0,0.06881216168403625,99.36,0.4024796485900879,76.39
90,2566479033472.0,0.07429433614015579,99.4,0.40740329027175903,76.57
100,2848483871872.0,0.0595623143017292,99.44,0.4232504367828369,76.48
101,2848483871872.0,0.06286503374576569,99.38,0.4232504367828369,76.48
