Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,143972560.0,0.8176828026771545,4.9915702220459934e-06,83.42,0.72414231300354,4.331692252890207e-06,82.33
0,4463149360.0,0.471698522567749,3.2433542855869746e-06,92.46,0.41378071904182434,2.978919383167522e-06,88.63
10,47654917360.0,0.12198176234960556,4.426696705195354e-06,97.1,0.1555817574262619,3.667626515380107e-06,92.29
20,90846685360.0,0.10299263894557953,5.71923965253518e-06,97.32,0.15058475732803345,3.829869910987327e-06,92.37
30,134038453360.0,0.10416819155216217,5.367138328438159e-06,97.46,0.14645056426525116,4.001878096460132e-06,92.48
40,177230221360.0,0.06821809709072113,8.549754056730308e-06,97.56,0.14526179432868958,5.069229700893629e-06,92.77
50,220421989360.0,0.06112631410360336,6.779618615837535e-06,97.84,0.1374363750219345,6.78018568578409e-06,92.83
60,263613757360.0,0.06696940958499908,7.26995267541497e-06,98.32,0.14056874811649323,6.9483839979511686e-06,92.83
70,306805525360.0,0.05929842218756676,7.028725576674333e-06,97.94,0.14180327951908112,7.1104395829024725e-06,92.84
80,349997293360.0,0.06063668802380562,9.991463230107911e-06,98.2,0.13332945108413696,8.897458428691607e-06,92.94
90,393189061360.0,0.05296026170253754,1.2540050192910712e-05,98.2,0.13651110231876373,9.939889423549175e-06,93.02
