Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,91315476.0,3.5749595165252686,14.24,3.492189645767212,13.05
0,11049172596.0,0.7851753234863281,54.58,0.7205638289451599,46.35
10,120627743796.0,0.35146987438201904,78.74,0.36478370428085327,62.5
20,230206314996.0,0.2506076395511627,83.6,0.3088984191417694,64.47
30,339784886196.0,0.1921103447675705,85.78,0.3091271221637726,65.45
40,449363457396.0,0.1583046317100525,87.66,0.31317341327667236,66.03
50,558942028596.0,0.16208872199058533,88.5,0.32182979583740234,66.41
60,668520599796.0,0.14165762066841125,89.82,0.3292973041534424,66.96
70,778099170996.0,0.147027850151062,90.04,0.3402145504951477,67.4
80,887677742196.0,0.13802236318588257,90.86,0.34118402004241943,67.42
90,997256313396.0,0.1521768420934677,91.8,0.3540232181549072,67.42
100,1106834884596.0,0.15096187591552734,91.46,0.3496679961681366,67.81
101,1106834884596.0,0.1284656524658203,92.0,0.3496679961681366,67.81
