Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,127967164.0,0.10229449719190598,99.04,0.21861179172992706,93.02
0,15484026844.0,0.06235852837562561,99.32,0.1558714509010315,93.33
10,169044623644.0,0.05302230268716812,99.58,0.1709364950656891,93.4
20,322605220444.0,0.055217742919921875,99.48,0.18529200553894043,93.4
30,476165817244.0,0.03977155312895775,99.5,0.18471555411815643,93.32
40,629726414044.0,0.05424026399850845,99.7,0.1735251247882843,93.51
50,783287010844.0,0.043908946216106415,99.64,0.18502108752727509,93.46
60,936847607644.0,0.053474605083465576,99.7,0.1921091079711914,93.56
70,1090408204444.0,0.038366012275218964,99.8,0.19680191576480865,93.47
80,1243968801244.0,0.05305056273937225,99.76,0.17589667439460754,93.47
90,1397529398044.0,0.03661109507083893,99.62,0.2008025199174881,93.47
100,1551089994844.0,0.05880650505423546,99.72,0.2172301709651947,93.42
101,1551089994844.0,0.04669856280088425,99.62,0.2172301709651947,93.42
