Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,185669136.0,0.3591504395008087,97.48,0.30782291293144226,92.44
0,22465965456.0,0.10565291345119476,99.22,0.16034816205501556,93.82
10,245268928656.0,0.04970306530594826,99.5,0.13855154812335968,94.22
20,468071891856.0,0.03804345056414604,99.66,0.1355605125427246,94.12
30,690874855056.0,0.03256423398852348,99.58,0.13562697172164917,94.25
40,913677818256.0,0.032434120774269104,99.64,0.14469698071479797,94.2
50,1136480781456.0,0.023656239733099937,99.68,0.15433092415332794,94.22
60,1359283744656.0,0.027623197063803673,99.6,0.16048377752304077,94.21
70,1582086707856.0,0.025114379823207855,99.78,0.1531621217727661,94.25
80,1804889671056.0,0.023764049634337425,99.6,0.1789172887802124,94.32
90,2027692634256.0,0.026870137080550194,99.84,0.16505883634090424,94.37
100,2250495597456.0,0.02309597097337246,99.84,0.17075994610786438,94.29
101,2250495597456.0,0.027909204363822937,99.84,0.17075994610786438,94.29
