;name;train_acc;eval_acc
0;train-conv1;0.0537584606153749;0.0584
1;train-layer1-0-conv1_1x1;0.09290624111832756;0.1027
2;train-layer1-0-conv2_1x1;0.10078000821061274;0.1141
3;train-layer1-0-conv3_3x3;0.09577995557847978;0.1017
4;train-layer1-0-conv4_1x1;0.10675901851598438;0.1122
5;train-layer1-0-conv5_1x1;0.10227476078695565;0.1094
6;train-layer1-0-shortcut-0;0.12488552511079064;0.1403
7;train-layer2-0-conv1_1x1;0.23636038274087096;0.2512
8;train-layer2-0-conv2_1x1;0.19710733797197866;0.2144
9;train-layer2-0-conv3_3x3;0.23393930462425921;0.2418
10;train-layer2-0-conv4_1x1;0.2211391698859988;0.2405
11;train-layer2-0-conv5_1x1;0.22640238318298087;0.2494
12;train-layer2-0-shortcut-0;0.21105485320898115;0.2215
13;train-layer3-0-conv1_1x1;0.35635111948546827;0.3563
14;train-layer3-0-conv2_1x1;0.3206981126117117;0.3405
15;train-layer3-0-conv3_3x3;0.3396351540542532;0.3498
16;train-layer3-0-conv4_1x1;0.33237191970441793;0.35
17;train-layer3-0-conv5_1x1;0.3581195591532542;0.3695
18;train-layer3-0-shortcut-0;0.31932967715449634;0.3064
19;train-layer3-1-conv1_1x1;0.3702565290160949;0.374
20;train-layer3-1-conv2_1x1;0.2900556847966821;0.3
21;train-layer3-1-conv3_3x3;0.3056874282887188;0.3135
22;train-layer3-1-conv4_1x1;0.32018231770860744;0.3221
23;train-layer3-1-conv5_1x1;0.3610353793197823;0.351
24;train-layer4-0-conv1_1x1;0.5593532563500668;0.5062
25;train-layer4-0-conv2_1x1;0.555490057790082;0.5251
26;train-layer4-0-conv3_3x3;0.6179328203454774;0.574
27;train-layer4-0-conv4_1x1;0.6141538331982442;0.5781
28;train-layer4-0-conv5_1x1;0.7348498405246371;0.6238
