,conv1,layer1.0.conv1,layer1.0.conv2,layer1.0.conv3,layer1.0.shortcut.0,layer1.1.conv1,layer1.1.conv2,layer1.1.conv3,layer1.2.conv1,layer1.2.conv2,layer1.2.conv3,layer2.0.conv1,layer2.0.conv2,layer2.0.conv3,layer2.0.shortcut.0,layer2.1.conv1,layer2.1.conv2,layer2.1.conv3,layer2.2.conv1,layer2.2.conv2,layer2.2.conv3,layer2.3.conv1,layer2.3.conv2,layer2.3.conv3,layer3.0.conv1,layer3.0.conv2,layer3.0.conv3,layer3.0.shortcut.0,layer3.1.conv1,layer3.1.conv2,layer3.1.conv3,layer3.2.conv1,layer3.2.conv2,layer3.2.conv3,layer3.3.conv1,layer3.3.conv2,layer3.3.conv3,layer3.4.conv1,layer3.4.conv2,layer3.4.conv3,layer3.5.conv1,layer3.5.conv2,layer3.5.conv3,layer4.0.conv1,layer4.0.conv2,layer4.0.conv3,layer4.0.shortcut.0,layer4.1.conv1,layer4.1.conv2,layer4.1.conv3,layer4.2.conv1,layer4.2.conv2,layer4.2.conv3,linear
0,0.0,2.950987e-14,8.1475937e-14,5.128075e-15,7.055182e-14,2.2129503e-12,1.1549714e-13,1.506087e-15,4.9021453e-13,1.4346041e-13,3.0244031e-15,3.7862183e-12,4.5383093e-11,2.5090932e-13,4.679137e-12,5.8437066e-10,6.4736044e-10,2.908187e-12,5.2016436e-10,3.7743872e-10,1.7033086e-12,2.2511224e-11,1.286662e-10,1.4142475e-13,6.333164e-11,2.3309676e-09,1.1682981e-11,2.4384259e-11,5.1903387e-10,4.5238488e-10,1.5368443e-12,2.2522627e-10,1.5424145e-10,8.877526e-13,3.8769263e-10,1.59619e-10,4.3563913e-13,3.054553e-10,5.732417e-10,4.2587804e-12,2.892173e-10,7.6751683e-10,3.841983e-12,7.0722816e-10,3.3803602e-09,1.2820697e-11,1.7826057e-11,3.085645e-08,7.536163e-09,8.2439845e-12,1.1096954e-06,1.3349897e-08,1.5793282e-11,0.0040610754
1,0.0,4.4344834e-14,7.326864e-14,4.7298718e-15,9.553561e-14,2.0169797e-12,1.04967535e-13,1.2556014e-15,4.3965157e-13,1.2030329e-13,3.1483776e-15,4.1988704e-12,4.6017544e-11,1.9031882e-13,4.5883974e-12,5.47343e-10,6.314035e-10,3.043676e-12,5.394831e-10,3.7216147e-10,1.6954847e-12,2.3675117e-11,1.3374755e-10,1.4324818e-13,6.3800895e-11,2.3521487e-09,1.2313737e-11,2.3542123e-11,5.0896115e-10,4.672065e-10,1.5066709e-12,2.4626706e-10,1.5532077e-10,8.572277e-13,4.1344783e-10,1.6752824e-10,4.3261675e-13,3.1912673e-10,5.830638e-10,4.2692195e-12,2.973533e-10,7.2739964e-10,3.4755011e-12,6.819858e-10,3.4390442e-09,1.2662843e-11,1.7999742e-11,3.0407445e-08,7.732933e-09,8.3494045e-12,1.1385929e-06,1.4356205e-08,1.462363e-11,0.003897251
2,0.0,2.366047e-14,6.068202e-14,4.852972e-15,8.681408e-14,1.6589465e-12,1.0225067e-13,1.4335827e-15,5.275991e-13,1.3522957e-13,3.1209054e-15,3.6770816e-12,4.780772e-11,2.5180633e-13,4.3823972e-12,5.6291793e-10,6.501953e-10,2.7685603e-12,4.912073e-10,3.5534473e-10,1.6442505e-12,2.1961061e-11,1.2543719e-10,1.3787837e-13,6.262337e-11,2.0559536e-09,1.04163145e-11,2.3392503e-11,4.827509e-10,4.3421933e-10,1.4698449e-12,2.2011121e-10,1.4878856e-10,8.245203e-13,4.0884085e-10,1.6910161e-10,4.1700438e-13,3.170686e-10,5.54273e-10,4.247959e-12,2.8766647e-10,7.2373374e-10,3.4372917e-12,6.467164e-10,3.2574052e-09,1.2796068e-11,1.863654e-11,2.9588959e-08,7.1717436e-09,7.903315e-12,1.1112994e-06,1.3533968e-08,1.4461127e-11,0.0045009833
3,0.0,2.0292814e-14,7.4922375e-14,4.91348e-15,8.108057e-14,1.7047752e-12,9.9932195e-14,1.2626389e-15,4.854671e-13,1.2198185e-13,2.8000626e-15,4.2130123e-12,4.8516757e-11,2.272274e-13,4.1241685e-12,5.481888e-10,6.3394207e-10,2.9810507e-12,5.403537e-10,3.751949e-10,1.7649929e-12,2.4566453e-11,1.346548e-10,1.5680886e-13,6.6055265e-11,2.2125652e-09,1.1243146e-11,2.3808878e-11,5.103061e-10,4.6274604e-10,1.47891e-12,2.241858e-10,1.5125427e-10,9.058185e-13,3.9238343e-10,1.7266402e-10,4.3379742e-13,3.2380912e-10,5.7926597e-10,4.016866e-12,2.882233e-10,7.1460454e-10,3.5356809e-12,6.67614e-10,3.3382903e-09,1.2063287e-11,1.746839e-11,2.9783367e-08,6.9241013e-09,7.4542395e-12,1.1012627e-06,1.2899484e-08,1.33273965e-11,0.003647064
4,0.0,1.0067167e-14,7.7035566e-14,4.6676373e-15,6.752075e-14,2.011847e-12,1.2784653e-13,1.4109915e-15,3.7323354e-13,1.2717956e-13,2.8488475e-15,3.9942403e-12,4.677115e-11,2.3294065e-13,4.3096846e-12,5.587014e-10,6.2672556e-10,2.9000409e-12,5.3181054e-10,3.660118e-10,1.7674946e-12,2.6812465e-11,1.2955335e-10,1.5172564e-13,6.39324e-11,2.2607665e-09,1.1891821e-11,2.3832198e-11,5.099136e-10,4.400084e-10,1.4970669e-12,2.3632077e-10,1.4981492e-10,8.249906e-13,4.0447776e-10,1.6226928e-10,4.1603342e-13,3.3999534e-10,5.9656724e-10,4.3470423e-12,2.9750577e-10,7.174518e-10,3.5591933e-12,6.8870876e-10,3.4064418e-09,1.2707903e-11,1.7848875e-11,3.072245e-08,7.524781e-09,7.797667e-12,1.103649e-06,1.3127118e-08,1.5861723e-11,0.004168587
