Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,247168176.0,0.9853436350822449,85.04,0.886390745639801,82.43
0,29907349296.0,0.19575686752796173,97.22,0.18919537961483002,91.6
10,326509160496.0,0.07860445976257324,98.58,0.14361751079559326,92.84
20,623110971696.0,0.053984593600034714,99.06,0.11203020066022873,93.27
30,919712782896.0,0.03819590061903,99.2,0.10907123237848282,93.27
40,1216314594096.0,0.0516202375292778,99.34,0.11475367099046707,93.39
50,1512916405296.0,0.04245402291417122,99.42,0.10288266092538834,93.5
60,1809518216496.0,0.03375759348273277,99.54,0.11714347451925278,93.5
70,2106120027696.0,0.03742268308997154,99.68,0.12078145891427994,93.56
80,2402721838896.0,0.054449498653411865,99.72,0.11174499988555908,93.54
90,2699323650096.0,0.0290166474878788,99.8,0.12029744684696198,93.59
100,2995925461296.0,0.028870396316051483,99.84,0.13318008184432983,93.65
101,2995925461296.0,0.037649523466825485,99.66,0.13318000733852386,93.65
