Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Final test accuracy
0,1.9200202107390605,0.8779039779366099,1.9715997010494848,0.9357993242034127,4.206360066927996,1.0852745818377036,40.729902420266406,2.63,1.64,1.71,1.44,4.13,1.31,49.91,61.44
1,2.376867124876949,1.1610648533142454,2.643185717744397,1.269487047232076,5.224265518524174,1.6915967536299608,53.14266465934691,2.55,1.58,2.48,1.96,4.8,1.9,51.86,61.44
2,2.3358140611805664,1.0452741607806397,2.5000263160464073,1.1073800776850282,5.013736986705124,1.6442278339571221,54.48899462075508,2.36,1.43,2.94,1.24,6.27,2.83,53.32,61.44
3,2.315813850652035,1.1221170748965006,2.536868809125282,1.1536963546984704,5.32005600058948,1.8189665154370045,55.11742228833443,2.31,1.44,2.79,1.19,4.73,1.67,53.52,61.44
4,2.260023789683947,0.9547468920725481,2.3873935515110687,1.0789587258813251,4.990578848178324,1.7421236013010664,55.060579584767176,2.75,0.9,2.03,0.7,4.54,2.2,52.99,61.44
5,2.335814061200644,1.0273792355508231,2.6000273686890667,1.0442215181011658,5.04847419442505,1.4358045873564769,55.34163517486618,2.26,1.3,2.75,1.63,6.66,4.3,53.07,61.44
6,2.335814061200644,0.9231676122705781,2.5537110916756247,1.2126443436246697,5.24216044375399,1.5031737176180802,55.4626890802149,2.59,1.47,2.66,1.08,5.09,2.88,53.22,61.44
7,2.355814271729176,0.9642206760071159,2.493710460069951,1.1000115790692533,5.0063684880692705,1.5042263602774766,55.239528836864565,2.21,1.63,3.62,1.11,5.5,1.58,54.67,61.44
8,2.3789724102358973,1.1189591469383888,2.5705533742460447,1.0315898062084865,5.229528731881389,1.6063326982188513,55.57847977274851,2.76,1.06,1.84,0.61,5.22,3.09,53.32,61.44
9,2.3389719891587557,1.1094853629837436,2.5989747260296703,1.2484341940240702,5.159001673681751,1.6610701165074648,55.30163475421066,2.38,1.53,2.68,1.18,4.49,2.38,53.6,61.44
10,2.3263402772660764,1.1305382161917494,2.6610806429541363,1.1073800776850282,5.274792366215356,1.5589637785660901,55.39426730779584,2.51,1.06,2.13,1.09,4.89,2.13,53.63,61.44
11,2.3610774850060805,1.048432088758829,2.6516068589994912,1.1831703491615702,5.346372067034235,1.51791071484963,55.29637153994996,2.56,1.02,2.28,1.3,6.36,1.04,52.79,61.44
12,2.335814061200644,1.11053800564314,2.489499889452443,1.136854072148128,5.036895125191767,1.7979136622490763,55.33426667576854,2.45,0.75,2.04,0.72,3.67,1.95,53.31,61.44
13,2.418972831292961,0.9642206760071159,2.49265781745071,1.1936967757555343,5.090579900820984,1.2294866261750124,55.39005673727872,2.37,0.66,2.26,1.43,5.47,1.16,53.19,61.44
14,2.314761207972561,0.9684312466447015,2.554763734335021,1.1958020610743272,5.167422814936844,1.3947515237002495,55.47111022193178,2.69,1.03,1.96,1.24,3.85,3.31,53.99,61.44
15,2.369498626281252,1.0221160222739187,2.4326571858651143,1.0579058726933968,5.284266150149924,1.6610701165074648,55.243739407502154,2.55,1.19,3.62,1.27,6.55,3.74,53.68,61.44
16,2.2873924988684093,0.912641185676614,2.2589711470446283,1.1515910693796776,4.967420709671603,1.8010715902071879,55.31952967950071,2.53,1.44,2.0,0.61,4.1,1.39,53.78,61.44
17,2.4526573963534912,1.1010642217085722,2.6442383603636386,1.1452752134032216,5.227423446502363,1.4347519447372357,55.41953073170166,2.3,0.91,1.83,1.46,3.66,1.86,53.64,61.44
18,2.3442352024758155,1.0231686649333152,2.4042358340011787,1.1410646427455584,4.91689386198042,1.6231749807892715,55.50690007287327,2.18,1.83,3.14,1.05,6.5,4.93,53.44,61.44
19,2.300024210781166,0.9957999557890083,2.3094979947157337,1.0789587258813251,4.853735302476868,1.7747555237423551,55.53742670955406,2.48,0.95,3.2,1.24,6.05,2.38,52.75,61.44
20,2.32528763460668,1.0705375846061538,2.401077906083222,1.1126432909820103,4.9232097179970316,1.4463310140106738,55.41005694724508,2.44,1.33,2.96,1.97,6.12,3.07,53.19,61.44
21,2.4000252634238257,0.9631680333477195,2.3189717786503015,0.9621153906883231,4.920051790018842,1.6052800555795324,55.19952841480362,2.39,0.88,2.11,0.62,6.02,2.43,54.48,61.44
22,2.268444930979196,0.9947473131095343,2.332656133202377,1.0189580942756518,4.734786681924918,1.5968589142842835,55.31742439370006,2.35,1.24,1.91,0.51,5.13,1.04,53.3,61.44
23,2.418972831252806,0.9957999557890083,2.3705512689406483,1.0936957231128748,5.0337371971935,1.3989620943378351,55.272160759747564,2.19,1.34,3.03,1.25,5.78,1.29,53.73,61.44
24,2.3368667038600406,1.124222360235371,2.573711302224234,1.1400120001263172,5.132685607216918,1.6200170528110822,55.39110937985781,2.37,1.84,4.07,1.72,9.47,4.99,52.49,61.44
25,2.263181717682214,1.0652743713091717,2.55792166231321,1.1452752134232993,5.083211402205209,1.4610680112422236,55.4984789315981,2.76,1.93,2.67,0.57,5.92,1.59,53.3,61.44
26,2.38107769555469,1.0758007979031359,2.529500310509507,1.0926430804334009,4.974789208247223,1.6210696954704786,55.41637280320146,2.3,1.35,2.9,1.04,5.49,1.54,53.49,61.44
27,2.3737091969188375,0.9379046095222054,2.326340277245999,1.0063263823829725,4.791629385552402,1.4147517342287814,55.346898388123,2.14,1.2,2.54,1.63,4.78,2.41,52.43,61.44
28,2.214760155349979,1.0568532300340003,2.281076642912031,1.0789587258813251,4.720049684713446,1.8589669364739907,55.01215802251525,2.58,1.24,2.62,0.52,5.36,3.1,54.2,61.44
29,2.328445562564792,1.0136948809987474,2.4263413299087357,1.0473794460994326,4.555837429867683,1.4894893630459267,55.20268634430771,2.21,1.49,2.56,1.09,5.02,2.75,53.85,61.44
30,2.2968662828029767,1.0442215181212433,2.26949757365867,1.1358014294887315,4.770576532384552,1.6147538395141001,55.3037400391279,2.65,0.94,2.34,1.21,4.86,2.69,53.31,61.44
31,2.3242349919272063,0.9789576732185881,2.4368677564826227,1.0821166538394367,4.925315003295747,1.437909872715425,55.17952820531913,2.37,1.19,2.59,0.98,5.67,2.73,52.59,61.44
32,2.374761839578234,1.047379446079355,2.5768692301823455,1.1505384267202812,5.163212244299259,1.53475299733974,55.30689796702578,2.67,1.28,2.93,1.38,7.91,5.15,53.27,61.44
33,2.2347603658985884,0.9221149696312593,2.489499889472521,1.0821166538595144,5.063211191676677,1.497910504321098,55.21426541356107,2.11,0.94,1.29,0.87,3.18,0.73,51.48,61.44
34,2.312655922693923,1.0947483657722712,2.5326582385077736,1.1673807092706239,5.097948399456836,1.703175822903399,55.2784766153827,2.21,0.96,1.98,0.94,3.4,2.37,53.11,61.44
35,2.2747607869556523,1.0621164433309824,2.524237097212525,1.2368551247907873,4.983210349542472,1.7863345929957157,55.3447931023625,2.58,1.44,3.2,1.63,5.72,3.1,52.71,61.44
36,2.285287213529539,1.043168875461847,2.478973462858479,0.9979052411078011,5.195844166740548,1.5621217065041242,55.406899019668444,2.65,1.05,3.25,1.08,6.7,1.94,52.92,61.44
37,2.3263402772660764,0.9326413962252235,2.243181507153682,0.9484310361161696,4.62636448798701,1.435804587396632,55.22268655475593,2.45,1.43,2.13,1.25,5.56,1.69,53.05,61.44
38,2.3179191359708278,1.0168528089769366,2.3642354129641925,1.0821166538394367,4.8916304381749836,1.5431741386751439,55.355319528956464,2.2,0.65,2.14,0.88,6.18,1.95,53.26,61.44
39,2.3316034905429808,0.9821156012168549,2.5452899504004534,1.0873798671564965,5.194791524101229,1.6147538394940226,55.45532058208099,2.32,1.95,3.72,1.0,7.15,2.72,53.75,61.44
40,2.303182138739278,1.1358014294686538,2.5084474573215787,1.112643290941855,5.162159601639862,1.560016421205409,55.223739196973625,2.3,1.17,1.72,0.64,4.5,1.79,53.62,61.44
