Name,Dense Accuracy,Pruned Accuracy,Dense ECE,Pruned ECE
resnet_small_normal_small_imagenet_1719229853.302319_rf_level_3_recording_200_ffcv_test_acc_58.2.pth,58.2,58.24,6.630285829305649,6.624311953783035
resnet_small_normal_small_imagenet_1719230138.7370658_rf_level_3_recording_200_ffcv_test_acc_58.36.pth,58.36,58.28,6.411127001047134,6.2776535749435425
resnet_small_normal_small_imagenet_1719229847.9459121_rf_level_3_recording_200_ffcv_test_acc_58.53.pth,58.53,58.57,6.712663918733597,6.685064733028412
resnet_small_normal_small_imagenet_1719229867.3507543_rf_level_3_recording_200_ffcv_test_acc_58.47.pth,58.47,58.47,6.515534222126007,6.5200649201869965
resnet_small_normal_small_imagenet_1718140000.683652_rf_level_3_recording_200_ffcv_test_acc_58.63.pth,58.63,58.64,6.398891657590866,6.355106830596924
