Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_set_EV0,val_set_EV1,val_set_EV2,val_set_EV3,val_set_EV4,val_set_trace,val_accuracy,test_set_EV0,test_set_EV1,test_set_EV2,test_set_EV3,test_set_EV4,test_set_trace,test_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude
-1,0,0.95621824,4.505803e-06,4.724443435668945,3.611323833465576,2.8849401473999023,2.3454878330230713,1.978971004486084,"[25.162067413330078, 41.71137237548828, 40.56991958618164, 24.21541976928711, 45.87712860107422, 52.107398986816406, 31.493593215942383, 33.785709381103516, 32.730125427246094, 42.688209533691406, 18.438932418823242, 29.652122497558594, 38.80298614501953, 20.570158004760742, 29.839515686035156, 17.181772232055664, 17.623207092285156, 47.93968963623047, 37.35590744018555, 29.663190841674805]",75.46,4.479196071624756,3.415543556213379,2.9608118534088135,2.228400945663452,1.9467328786849976,"[27.63705825805664, 39.03391647338867, 38.73870086669922, 19.557159423828125, 35.63009262084961, 32.129398345947266]",75.42,0.9217967,3.931293e-06
0,4331471520.0,0.9446411,4.309756e-06,4.702206134796143,3.70161509513855,2.904648780822754,2.3215038776397705,1.9531023502349854,"[61.867000579833984, 24.509321212768555, 29.987028121948242, 33.650901794433594, 24.98969841003418, 26.85216522216797, 29.90639877319336, 28.805404663085938, 41.85982894897461, 39.080867767333984, 50.621421813964844, 30.703439712524414, 32.82860565185547, 33.0296745300293, 38.51607131958008, 54.72611999511719, 35.693992614746094, 48.58142852783203, 20.49430274963379, 33.89311218261719]",76.02,4.4492387771606445,3.430803060531616,2.9706459045410156,2.2259461879730225,1.952283501625061,"[48.38962173461914, 36.43794631958008, 32.61699676513672, 29.199283599853516, 47.89064025878906, 34.901763916015625, 24.02213478088379, 35.89509201049805, 33.11824417114258, 35.32124710083008, 34.14320755004883, 40.406497955322266, 35.0909538269043, 40.584102630615234, 27.384077072143555, 33.63529968261719, 49.78810119628906, 26.32724380493164, 49.50372314453125, 24.882349014282227]",75.78,0.9051132,3.8194194e-06
1,8662943040.0,0.9080331,3.3262515e-06,4.558266639709473,3.61838698387146,2.996485471725464,2.3257107734680176,1.9775779247283936,"[22.435590744018555, 28.795902252197266, 22.6103458404541, 48.59611511230469, 43.33826446533203, 24.41691017150879, 41.852447509765625, 24.590282440185547, 33.507328033447266, 26.75168228149414, 17.762121200561523, 57.58338928222656, 67.07319641113281, 32.93754959106445, 34.52304458618164, 20.106576919555664, 26.49178123474121, 23.905513763427734, 46.47669219970703, 50.00446701049805]",76.26,4.387576103210449,3.394233465194702,3.028373956680298,2.2208549976348877,1.8902413845062256,"[34.66965866088867, 31.950166702270508, 42.926883697509766, 26.34029197692871, 41.89158248901367, 37.82561111450195, 22.808931350708008, 39.851749420166016, 45.73377227783203, 39.152748107910156, 20.439725875854492, 36.05855941772461, 33.593284606933594, 24.447973251342773, 23.01539421081543, 50.84425354003906, 37.682281494140625, 41.658782958984375, 46.434539794921875, 38.70563507080078]",76.19,0.87033904,3.5635119e-06
