Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,419804464.0,0.9822975397109985,77.24,0.9362983107566833,76.47
0,50796340144.0,0.22582292556762695,95.06,0.25242528319358826,90.35
10,554561696944.0,0.07073039561510086,97.14,0.13798196613788605,91.99
20,1058327053744.0,0.06675416231155396,98.26,0.14096775650978088,92.6
30,1562092410544.0,0.06313780695199966,98.8,0.15533366799354553,92.77
40,2065857767344.0,0.052926696836948395,99.18,0.1591343879699707,92.97
50,2569623124144.0,0.04855700954794884,99.26,0.13752394914627075,93.11
60,3073388480944.0,0.05336270108819008,99.2,0.12113244086503983,93.19
70,3577153837744.0,0.03523311764001846,99.28,0.135603129863739,93.25
80,4080919194544.0,0.038062747567892075,99.6,0.14558956027030945,93.27
90,4584684551344.0,0.04465952143073082,99.32,0.19982117414474487,93.35
100,5088449908144.0,0.03855046257376671,99.64,0.16700749099254608,93.34
101,5088449908144.0,0.0451958067715168,99.54,0.1670074313879013,93.34
