Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,183436108.0,2.4553918838500977,49.46,2.505005121231079,37.73
0,22195769068.0,0.5426565408706665,93.7,0.5114519000053406,68.34
10,242319098668.0,0.16457277536392212,97.2,0.2699481248855591,71.42
20,462442428268.0,0.11219070106744766,97.76,0.26928120851516724,71.66
30,682565757868.0,0.10314237326383591,97.6,0.27597296237945557,71.76
40,902689087468.0,0.08236106485128403,98.66,0.29531654715538025,71.87
50,1122812417068.0,0.08272360265254974,98.24,0.30476894974708557,72.08
60,1342935746668.0,0.06830871105194092,98.5,0.30388426780700684,71.93
70,1563059076268.0,0.07944967597723007,98.62,0.33344271779060364,72.02
80,1783182405868.0,0.06628034263849258,98.64,0.340077668428421,72.07
90,2003305735468.0,0.08056061714887619,98.92,0.329313725233078,72.22
100,2223429065068.0,0.0700298398733139,98.92,0.33216750621795654,72.0
101,2223429065068.0,0.07730312645435333,98.88,0.33216753602027893,72.0
