Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Final test accuracy
0,2.3353268194070083,1.6762129380053907,2.949166105121294,2.075261118598383,4.572734164420485,3.300833894878706,48.06266846361186,1.56,0.5,1.21,0.5,1.97,0.85,33.89,Acc@1 final output   50.00 ( 54.03)
1,3.016551549865229,1.5888224393530996,3.0439268867924527,1.9204851752021563,4.264235175202156,3.627232142857143,56.52059467654986,1.33,0.57,0.72,0.98,1.33,1.46,34.74,Acc@1 final output   50.00 ( 54.03)
2,3.108153638814016,1.4845855795148248,3.0976246630727764,1.9099561994609164,4.540094339622642,3.31768025606469,57.355542452830186,1.59,0.76,1.18,1.01,1.84,3.41,36.8,Acc@1 final output   50.00 ( 54.03)
3,3.139740566037736,1.6140919811320755,3.118682614555256,1.8352004716981132,4.374789420485175,3.1871209568733154,57.391340970350406,1.79,1.28,1.22,1.36,1.83,1.93,34.52,Acc@1 final output   50.00 ( 54.03)
4,3.1176297169811322,1.7994019541778976,3.031292115902965,1.9783945417789757,4.511666105121294,3.5261539757412397,57.24814690026954,1.6,0.5,0.84,0.5,1.62,1.41,39.03,Acc@1 final output   50.00 ( 54.03)
5,3.159745619946092,1.5467065363881403,3.0713022237196768,1.962601078167116,4.6137971698113205,3.907302897574124,57.73458557951483,1.53,1.53,1.87,1.54,2.66,2.25,36.16,Acc@1 final output   50.00 ( 54.03)
6,3.2071260107816713,1.6151448787061995,2.9565363881401616,1.6814774258760108,4.445333557951482,3.3503200808625335,57.51452998652291,1.36,0.62,1.14,1.02,2.13,1.86,37.09,Acc@1 final output   50.00 ( 54.03)
7,3.1523753369272236,1.7867671832884098,3.298728099730458,2.273205862533693,5.252905997304582,4.237912735849057,57.64298349056604,1.41,1.03,1.03,0.95,2.37,1.48,36.42,Acc@1 final output   50.00 ( 54.03)
8,3.2555592991913747,1.8373062668463611,3.145005053908356,2.142646563342318,4.765414420485175,4.275817048517521,58.091517857142854,1.35,0.93,0.5,0.5,0.55,0.51,34.86,Acc@1 final output   50.00 ( 54.03)
9,3.230289757412399,1.6298854447439353,3.287146226415094,1.946807614555256,4.559046495956873,3.614597371967655,57.75143194070081,1.28,0.62,0.88,0.5,1.53,0.77,35.72,Acc@1 final output   50.00 ( 54.03)
10,3.198702830188679,1.650943396226415,2.9575892857142856,1.7278049191374663,4.360048854447439,3.3829599056603774,57.613502358490564,1.17,0.5,0.63,0.5,0.99,1.2,36.58,Acc@1 final output   50.00 ( 54.03)
11,3.112365229110512,1.8025606469002695,3.108153638814016,1.858364218328841,4.568522574123989,3.9336253369272236,57.967275943396224,1.75,0.66,0.77,0.7,1.77,1.24,37.85,Acc@1 final output   50.00 ( 54.03)
12,3.2808288409703503,1.666736859838275,3.2692469676549867,2.0857900943396226,4.7327745956873315,3.5229952830188678,57.69773416442049,1.49,0.5,0.59,0.5,0.79,0.58,35.47,Acc@1 final output   50.00 ( 54.03)
13,3.1007833557951483,1.857311320754717,3.2934636118598384,2.2121378032345014,5.199208221024259,4.241071428571429,57.73458557951483,1.61,1.28,1.53,2.23,2.43,2.75,35.27,Acc@1 final output   50.00 ( 54.03)
14,3.1818564690026956,1.7709737196765498,3.2439774258760106,1.9278554582210243,4.227383760107816,3.49456704851752,57.98201650943396,1.57,0.92,0.89,1.6,1.37,1.89,35.53,Acc@1 final output   50.00 ( 54.03)
15,3.160798517520216,1.764656334231806,3.446133760107817,2.1236944070080863,5.016004043126685,3.7567385444743935,57.496630727762806,1.2,0.5,0.8,0.52,1.21,1.54,38.94,Acc@1 final output   50.00 ( 54.03)
16,3.2881991239892185,1.481426886792453,2.8470350404312668,1.7120114555256065,4.003116576819407,3.017604447439353,57.745114555256066,1.34,0.65,0.7,0.71,1.36,1.28,35.39,Acc@1 final output   50.00 ( 54.03)
17,3.2639824797843664,1.6204093665768193,3.0734080188679247,1.8688931940700808,4.373736522911051,3.410335242587601,57.781965970350406,1.57,0.5,1.17,0.5,1.09,0.68,37.12,Acc@1 final output   50.00 ( 54.03)
18,3.157639824797844,1.553023921832884,2.941795822102426,1.8173012129380053,4.386371293800539,3.392435983827493,57.74827324797844,1.26,0.65,0.61,0.49,0.57,0.88,37.28,Acc@1 final output   50.00 ( 54.03)
19,3.1660630053908356,1.6720013477088949,3.0944659703504045,1.9762887466307277,4.679076819407008,3.5956452156334233,57.76090801886792,1.82,0.5,1.24,0.53,1.6,0.8,36.52,Acc@1 final output   50.00 ( 54.03)
20,3.0997304582210243,1.6467318059299192,3.1702745956873315,1.9815532345013478,4.419011118598383,3.744103773584906,57.621925539083556,1.68,1.21,1.23,0.99,1.7,1.43,36.43,Acc@1 final output   50.00 ( 54.03)
21,3.0723551212938007,1.5245956873315365,2.9860175202156336,1.8815279649595686,4.748568059299191,3.7198871293800537,57.769331199460915,1.89,1.47,1.99,1.35,2.86,2.62,37.91,Acc@1 final output   50.00 ( 54.03)
22,3.412441037735849,2.141593665768194,3.7588443396226414,2.0984248652291106,5.2150016846361185,4.2221192722371965,57.8651448787062,1.5,0.94,1.39,1.39,2.36,2.49,33.96,Acc@1 final output   50.00 ( 54.03)
23,3.1692216981132075,1.8288830862533694,3.31768025606469,2.0363039083557952,4.819112196765499,3.730416105121294,57.73563847708895,1.73,1.02,1.17,1.2,2.22,1.64,36.34,Acc@1 final output   50.00 ( 54.03)
24,3.2566121967654986,1.6235680592991915,3.089201482479784,1.9394373315363882,4.4632328167115904,3.4608743261455523,57.82197607816712,1.44,0.93,0.91,0.92,1.08,1.14,36.76,Acc@1 final output   50.00 ( 54.03)
25,3.2924107142857144,1.5993514150943395,2.8923096361185983,1.756233153638814,4.26002358490566,3.230289757412399,57.69246967654986,1.62,0.5,0.61,0.78,1.01,1.72,37.14,Acc@1 final output   50.00 ( 54.03)
26,3.2945165094339623,1.7930845687331536,3.3113628706199463,2.152122641509434,4.935983827493262,3.8620283018867925,57.86198618598383,1.48,0.51,1.57,0.64,2.33,1.92,37.47,Acc@1 final output   50.00 ( 54.03)
27,3.090254380053908,1.752021563342318,3.092360175202156,1.9647068733153639,4.7633086253369274,3.993640498652291,57.36185983827493,2.11,1.32,1.96,1.68,3.51,2.48,35.98,Acc@1 final output   50.00 ( 54.03)
28,3.160798517520216,1.561447102425876,2.8143952156334233,1.9194322776280324,4.363207547169812,3.4387634770889486,57.66088274932615,1.66,0.93,1.15,1.12,1.89,1.53,37.84,Acc@1 final output   50.00 ( 54.03)
29,3.1881738544474394,1.764656334231806,3.223972371967655,1.9404902291105122,4.6875,3.5461590296495955,57.83355795148248,0.96,0.5,0.61,0.5,0.59,0.53,35.93,Acc@1 final output   50.00 ( 54.03)
30,3.1871209568733154,1.649890498652291,3.1808035714285716,2.047885781671159,4.708557951482479,3.5640582884097034,57.69878706199461,1.11,0.64,0.76,0.5,0.82,0.66,37.59,Acc@1 final output   50.00 ( 54.03)
31,3.2029144204851754,1.6214622641509433,3.033397911051213,2.0942132749326148,4.430592991913747,3.617756064690027,57.5798096361186,1.42,0.5,0.51,0.89,1.16,1.76,34.97,Acc@1 final output   50.00 ( 54.03)
32,3.222919474393531,1.7867671832884098,3.1334231805929917,1.9752358490566038,4.694870283018868,3.698829177897574,57.65140667115903,1.64,1.02,1.07,1.01,2.15,1.33,35.76,Acc@1 final output   50.00 ( 54.03)
33,3.316627358490566,1.6298854447439353,3.13026448787062,1.949966307277628,4.609585579514825,3.3798012129380055,57.87567385444744,1.46,0.5,0.55,0.5,1.24,0.51,34.86,Acc@1 final output   50.00 ( 54.03)
34,3.2376600404312668,1.6646310646900269,3.209231805929919,1.9868177223719676,4.648542789757412,3.4524511455525606,57.930424528301884,1.63,0.5,1.2,0.51,1.38,0.87,35.83,Acc@1 final output   50.00 ( 54.03)
35,3.2955694070080863,1.5172254043126685,2.914420485175202,1.9573365902964959,3.9567890835579513,3.2376600404312668,57.69668126684636,1.27,0.6,0.7,0.5,0.72,0.62,35.01,Acc@1 final output   50.00 ( 54.03)
36,3.2629295822102424,1.8836337601078168,3.2955694070080863,1.9131148921832883,4.688552897574124,3.530365566037736,57.80934130727763,1.38,0.64,1.67,0.5,2.6,1.72,35.55,Acc@1 final output   50.00 ( 54.03)
37,3.2776701482479784,1.7372809973045822,3.4377105795148246,2.2289841644204853,5.237112533692723,4.289504716981132,57.93674191374663,1.39,1.14,0.89,0.5,1.34,1.35,36.39,Acc@1 final output   50.00 ( 54.03)
38,3.032345013477089,1.4119356469002695,2.5627526954177897,1.7225404312668464,3.975741239892183,2.841770552560647,57.549275606469,1.37,0.5,1.0,0.68,1.52,1.06,37.34,Acc@1 final output   50.00 ( 54.03)
39,3.3440026954177897,1.844676549865229,3.106047843665768,1.8857395552560647,4.374789420485175,3.2692469676549867,57.71563342318059,0.94,0.8,0.5,0.5,0.5,0.5,37.01,Acc@1 final output   50.00 ( 54.03)
40,2.9797001347708894,1.3898247978436657,2.820712601078167,1.7267520215633423,4.361101752021563,3.2839875336927222,57.79144204851752,1.52,0.83,1.42,0.6,2.11,2.09,34.89,Acc@1 final output   50.00 ( 54.03)
41,3.3597961590296497,1.6720013477088949,3.1007833557951483,1.956283692722372,4.454809636118599,3.418758423180593,57.67772911051213,1.5,0.5,0.8,0.5,1.0,0.82,34.44,Acc@1 final output   50.00 ( 54.03)
42,3.2755643530997305,1.9668126684636118,3.33347371967655,2.11421832884097,4.752779649595688,3.7746378032345014,57.59981469002695,1.63,0.52,0.75,0.52,1.57,0.92,33.8,Acc@1 final output   50.00 ( 54.03)
43,3.1934383423180592,1.3382328167115902,2.9754885444743935,1.7351752021563343,4.531671159029649,3.3776954177897576,57.878832547169814,1.85,0.65,0.98,0.53,1.3,1.11,36.24,Acc@1 final output   50.00 ( 54.03)
44,3.159745619946092,1.7720266172506738,3.0060225741239894,1.9941880053908356,4.751726752021563,3.5777459568733154,57.851457210242586,1.68,0.77,0.81,1.07,0.99,1.47,36.28,Acc@1 final output   50.00 ( 54.03)
