Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Final test accuracy
0,1.7326498173664986,0.8684301940020421,1.9863366982810344,1.062116443310905,4.7305761113074105,1.3336982494552574,43.85835640399255,2.37,1.21,2.89,1.42,5.47,2.36,52.93,62.87
1,2.343182559816419,1.03053716354909,2.6147643659206166,1.4168570195475743,5.592690449353074,1.9126517121232856,55.83637722438094,2.59,0.8,2.68,1.15,6.9,1.8,54.74,62.87
2,2.401077906083222,0.9684312466447015,2.4979210307276145,1.3052768976515543,5.188475668164928,1.5168580721902336,57.23954988871388,2.31,0.5,2.63,0.54,5.3,0.97,54.34,62.87
3,2.4621311803081363,1.109485363003821,2.82213496982171,1.301066326993891,5.741113064307891,1.5389635679974032,57.59218518061555,2.31,1.2,3.21,2.53,5.45,2.42,56.0,62.87
4,2.3663406983231403,1.1663280666112275,2.6158170086000907,1.4515942273076559,5.486373540774113,1.6873861829923753,57.713239086887846,2.28,1.45,3.51,1.44,7.39,1.44,55.68,62.87
5,2.330550847903662,0.9842208865356478,2.650554216340095,1.3431720333898252,5.487426183393355,1.5958062716449646,58.09745365712583,2.42,1.56,2.81,0.94,6.21,0.66,54.81,62.87
6,2.3389719891587557,1.0726428699249466,2.6158170086000907,1.5010684322992873,5.5379530310845375,1.7158075348161559,58.20798113584044,2.61,1.25,3.35,2.01,6.53,3.61,56.31,62.87
7,2.42949925784677,1.0747481552437395,2.7916083326791368,1.5084369309150623,5.743218349606606,1.7873872356551121,58.09113780161116,2.4,1.07,3.21,1.6,5.87,1.25,55.42,62.87
8,2.3589721996872877,1.0989589364098569,2.6516068590195685,1.4505415846482594,5.617953873198665,1.6010694849419467,57.83113506429854,2.71,1.43,2.89,1.19,5.89,2.61,56.75,62.87
9,2.3368667038600406,1.0821166538394367,2.6389751471068115,1.4105411635911957,5.686375646059433,1.9800208423246561,58.24061305888406,2.52,1.37,1.82,1.59,5.74,2.47,56.54,62.87
10,2.3894988368298615,1.0894851524752893,2.601080011368541,1.5642269918630722,5.514794892577816,2.065284897735766,58.1248223663103,2.46,0.57,1.83,1.26,5.55,1.34,55.72,62.87
11,2.330550847883585,1.000010526426594,2.480026105537953,1.4526468699670523,5.317950715270687,1.6084379835577216,58.074295518097095,2.58,1.69,3.31,2.14,6.11,2.15,56.12,62.87
12,2.3789724102158196,1.1558016399971858,2.811608543227746,1.4326466594184428,5.86743018343546,1.714754892136682,58.195349424891404,2.55,1.45,2.81,1.28,5.89,2.74,55.66,62.87
13,2.320024421309698,1.1063274350055543,2.6537121443383613,1.2810661164653592,5.485320898034407,1.8221244433750388,57.87113548539576,2.4,1.25,2.52,1.62,6.21,3.42,56.18,62.87
14,2.368445983641933,1.0715902272655502,2.5031842440446743,1.4094885209317993,5.356898493628199,2.10002210547577,58.01324224393242,2.52,1.16,1.86,1.14,4.73,2.01,55.98,62.87
15,2.4410783271202083,1.1452752134232993,2.7916083327192918,1.505279002936873,5.641112011705387,1.8747565763850145,58.23429720296783,2.73,1.03,3.29,1.92,6.35,2.76,55.8,62.87
16,2.4084464046989966,1.0631690859903788,2.677922925464324,1.425278160802668,5.546374172319554,2.0221265486603577,58.2416657015033,2.97,1.25,2.67,1.8,6.32,3.2,55.03,62.87
17,2.4042358340413337,1.1821177064820962,2.697923136012933,1.5294897841029906,5.690586216656863,2.151601595786194,58.18482299789589,2.39,1.01,1.88,0.86,4.19,2.35,55.61,62.87
18,2.347393130433927,1.0894851524752893,2.4979210307476922,1.3768565984905103,5.621111801136699,2.104232676133433,58.21745492073873,2.39,2.11,3.79,2.41,7.45,3.17,56.17,62.87
19,2.513710670618561,1.0452741607806397,2.630554005811563,1.4273834461415382,5.457952188950332,1.3158033242455183,58.212191706558336,2.52,2.1,3.0,1.75,5.69,2.5,55.56,62.87
20,2.5010789587058038,1.1263276455541638,2.617922293878728,1.4263308034620643,5.5211107485141175,1.9779155570058633,58.13429615064641,2.42,1.5,3.2,2.14,5.78,2.51,54.87,62.87
21,2.3126559226738457,1.2263286981767456,2.685291424100176,1.4231728755039528,5.435846693103008,1.8726512910662219,57.870082843137915,2.59,1.21,1.8,0.63,3.06,1.84,55.39,62.87
22,2.442130969799682,1.081064011200118,2.5010789587258815,1.3010663270139686,5.216897019948553,1.94949420520216,58.012189601714724,2.23,1.44,2.31,1.51,4.76,3.51,56.06,62.87
23,2.4137096179759014,1.1568542826766597,2.8084506152294795,1.3463299613680144,5.750586848242459,1.825282371393383,58.150085789091776,2.61,1.57,3.88,2.28,8.02,4.81,54.85,62.87
24,2.3958146927661623,1.068432299287361,2.480026105537953,1.4021200223160244,5.295845219322975,2.043179401888441,58.17008600010217,2.7,1.21,4.16,3.12,8.67,4.46,55.84,62.87
25,2.414762260635298,1.0021158117253093,2.352656343730909,1.4347519447573132,5.265318582280789,1.9105464267844152,58.21008642172141,2.68,1.44,3.43,1.53,7.68,5.86,56.05,62.87
26,2.411604332637031,1.1652754239317535,2.548447878358565,1.4705417951366362,5.583216665378351,1.9452836345444968,58.19324413957261,2.37,0.87,2.31,0.77,5.53,2.8,55.89,62.87
27,2.2526552911083275,1.1084327203444246,2.5031842440446743,1.4452783713512773,5.399004200004056,1.8168612301182119,58.059558521387565,2.32,1.72,3.28,1.92,6.82,2.85,56.16,62.87
28,2.3463404877745306,1.1589595679954525,2.727397130476033,1.4358045874167096,5.4379519784218004,2.2147601553700564,58.041663596338445,2.46,1.63,2.82,1.88,5.71,5.08,55.47,62.87
29,2.355814271729176,1.0400109474836576,2.3337087758818513,1.2610659059569047,5.166370172317603,1.5431741386751439,58.0353477402616,2.36,1.12,3.12,1.45,7.81,2.85,55.98,62.87
30,2.3568669143885725,0.9884314571531558,2.727397130476033,1.4115938062505922,5.781113485405109,1.6179117674722119,58.06692702036474,2.41,1.05,2.57,1.32,7.38,0.98,55.33,62.87
31,2.32528763460668,1.1326435015105423,2.6863440667796503,1.512647501552648,5.588479878735566,2.0758113243297296,58.03113716966417,2.04,0.68,1.59,0.51,3.57,1.5,56.11,62.87
32,2.343182559816419,1.0221160222739187,2.4779208201990826,1.302118969673365,5.5179528205560056,1.5442267813345403,57.79113464328163,3.01,1.61,2.4,1.78,5.05,4.9,54.62,62.87
33,2.343182559816419,1.0463268034400361,2.521079169254413,1.3568563879619786,5.59374309201247,2.0737060390109368,57.969031252318075,2.49,1.52,3.16,1.25,8.14,3.69,56.09,62.87
34,2.3294982052442657,1.0894851524752893,2.350551058432194,1.2779081885072474,5.126369751220384,1.7747555237022001,58.01850545771126,2.21,0.87,2.16,1.0,5.94,5.84,55.98,62.87
35,2.423183401910469,1.0905377951346857,2.5842377287981204,1.3336982494552574,5.463215402227237,1.9052832135075106,58.22061284871692,2.76,1.75,2.85,1.84,4.03,3.79,55.94,62.87
36,2.397919978105033,1.1947494184149308,2.6642385709122482,1.5389635680375582,5.619006515817906,2.1979178728197137,57.99639996190409,2.53,1.43,3.1,2.65,8.37,3.4,56.73,62.87
37,2.406341119380204,1.111590648322614,2.5726586595648375,1.4179096622069707,5.507426393941964,1.9747576290075963,58.1248223663103,2.36,0.59,1.79,1.03,5.39,3.07,55.49,62.87
38,2.387393551490991,1.0505373740776218,2.4200254739523572,1.3210665375425004,5.432688765124818,1.9473889198833672,58.227981347332694,2.32,2.16,3.29,1.93,6.85,2.82,56.19,62.87
39,2.4179201886335644,0.9779050305792693,2.348445773113401,1.2736976178696617,5.2632132969419185,1.7926504489520942,58.21640227663375,2.41,1.03,3.03,1.38,6.03,2.88,55.29,62.87
40,2.382130338194009,1.1715912799082095,2.6516068589994912,1.5210686428278193,5.6916388593363365,1.8968620722323393,58.03745302509853,2.09,1.37,2.32,1.24,4.12,3.93,55.79,62.87
41,2.320024421309698,1.2221181275592374,2.576869230202423,1.553700565269108,5.444267834398257,2.332656133222455,58.00482110309895,2.52,0.78,1.54,0.68,4.02,2.28,56.36,62.87
42,2.360024842366762,1.0210633795944446,2.45160475373425,1.3210665375224229,5.356898493608122,1.881072432341393,58.30482426146863,2.54,1.23,3.18,1.45,6.98,0.99,55.67,62.87
43,2.4631838229675327,1.1158012189601996,2.5337108811470928,1.3358035347740502,5.649533152920325,1.6294908367255725,58.27745555232433,2.34,1.52,2.98,2.09,8.45,1.62,55.95,62.87
44,2.3989726207644293,1.1021168643880461,2.444236255118475,1.3568563879619786,5.511636964599627,1.7747555237423551,58.11745386765437,2.08,2.04,4.07,1.43,6.43,4.61,55.82,62.87
45,2.3273929199053955,1.1021168643880461,2.563184875610192,1.3915935957220602,5.631638227730663,1.8484405099001042,58.25219212805711,2.59,1.58,3.38,2.4,6.71,0.96,55.54,62.87
46,2.3673933409825367,1.035800376846072,2.42213075927115,1.3189612522237075,5.455846903651618,1.7431762439604628,58.083769302553684,2.29,1.09,3.31,2.34,7.25,4.09,55.3,62.87
47,2.323182349287887,1.0842219391783072,2.608448509964238,1.3789618838093032,5.53058453240853,1.6358066927020285,57.89639890914096,2.93,1.06,3.29,0.97,5.92,1.78,56.26,62.87
48,2.414762260635298,0.9747471025810025,2.689501994737762,1.560016421205409,5.527426604470496,1.69475468160815,58.01113695861362,2.43,0.8,1.92,0.87,4.82,0.83,56.38,62.87
49,2.3610774850060805,1.1558016400172633,2.6368698617679414,1.3715933851734508,5.488478826052751,1.5621217065442794,58.16377014466781,2.8,1.22,3.77,2.56,8.09,2.78,56.48,62.87
