;test_accuracy;Epoch;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
14;76.94;14;0.171875;0.640625;0.6953125;0.6953125;0.42578125;0.23046875;0.12890625;0.109375;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.017578125;0.017578125;0.017578125;0.7;0.171875;0.625;0.609375;0.6328125;0.1875;0.13671875;0.1015625;0.0859375;0.009765625;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.01171875;0.01171875;0.5
15;79.57;15;0.171875;0.640625;0.6953125;0.7109375;0.42578125;0.2265625;0.12890625;0.11328125;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.017578125;0.01953125;0.01953125;0.7;0.171875;0.640625;0.609375;0.640625;0.1875;0.140625;0.109375;0.08984375;0.009765625;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.013671875;0.013671875;0.5
16;78.86;16;0.171875;0.640625;0.6953125;0.703125;0.42578125;0.234375;0.1328125;0.11328125;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.017578125;0.01953125;0.01953125;0.7;0.171875;0.640625;0.6171875;0.640625;0.18359375;0.1328125;0.1015625;0.0859375;0.009765625;0.009765625;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.01171875;0.5
17;78.54;17;0.171875;0.640625;0.6953125;0.7109375;0.44140625;0.23046875;0.12890625;0.11328125;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.015625;0.017578125;0.01953125;0.7;0.171875;0.640625;0.6171875;0.6484375;0.1875;0.14453125;0.11328125;0.09375;0.01171875;0.01171875;0.009765625;0.01171875;0.01171875;0.01171875;0.013671875;0.015625;0.6
18;79.42;18;0.171875;0.65625;0.703125;0.7109375;0.43359375;0.22265625;0.12890625;0.109375;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.017578125;0.01953125;0.01953125;0.7;0.171875;0.640625;0.625;0.6484375;0.19140625;0.140625;0.10546875;0.0859375;0.009765625;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.013671875;0.013671875;0.5
19;79.39;19;0.171875;0.65625;0.703125;0.71875;0.43359375;0.22265625;0.1328125;0.11328125;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.015625;0.017578125;0.01953125;0.7;0.171875;0.640625;0.6171875;0.6484375;0.1875;0.140625;0.109375;0.08984375;0.009765625;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.013671875;0.015625;0.6
20;81.25;20;0.171875;0.65625;0.7109375;0.7265625;0.44140625;0.234375;0.1328125;0.11328125;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.017578125;0.01953125;0.021484375;0.7;0.171875;0.640625;0.6328125;0.6640625;0.19140625;0.140625;0.10546875;0.0859375;0.009765625;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.013671875;0.015625;0.5
21;79.75;21;0.171875;0.65625;0.7109375;0.7265625;0.43359375;0.21875;0.12890625;0.109375;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.015625;0.017578125;0.01953125;0.7;0.171875;0.65625;0.6328125;0.65625;0.19140625;0.140625;0.109375;0.09375;0.01171875;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.013671875;0.015625;0.5
22;81.04;22;0.171875;0.65625;0.7109375;0.7265625;0.421875;0.21484375;0.12890625;0.109375;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.017578125;0.017578125;0.01953125;0.7;0.171875;0.65625;0.6328125;0.6640625;0.1875;0.13671875;0.1015625;0.0859375;0.009765625;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.01171875;0.013671875;0.6
23;79.56;23;0.171875;0.65625;0.7109375;0.7421875;0.4296875;0.22265625;0.1328125;0.11328125;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.017578125;0.017578125;0.021484375;0.7;0.171875;0.65625;0.625;0.671875;0.19140625;0.140625;0.10546875;0.08203125;0.009765625;0.009765625;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.013671875;0.5
24;80.12;24;0.171875;0.65625;0.71875;0.734375;0.43359375;0.22265625;0.1328125;0.11328125;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.015625;0.017578125;0.01953125;0.8;0.171875;0.65625;0.640625;0.671875;0.1953125;0.1484375;0.10546875;0.08203125;0.009765625;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.01171875;0.013671875;0.6
25;80.07;25;0.171875;0.65625;0.7265625;0.75;0.44140625;0.2265625;0.1328125;0.11328125;0.013671875;0.013671875;0.013671875;0.013671875;0.015625;0.015625;0.017578125;0.021484375;0.7;0.171875;0.65625;0.640625;0.6875;0.19140625;0.140625;0.10546875;0.0859375;0.009765625;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.013671875;0.013671875;0.5
