;test_accuracy;Epoch;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
14;73.32;14;0.140625;0.90625;0.8515625;0.8828125;0.578125;0.53515625;0.4765625;0.375;0.05859375;0.0546875;0.05078125;0.046875;0.046875;0.046875;0.046875;0.048828125;0.7;0.140625;0.890625;0.7421875;0.7734375;0.2109375;0.20703125;0.1953125;0.1796875;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.6
15;73.32;15;0.140625;0.90625;0.8515625;0.8828125;0.5859375;0.5390625;0.484375;0.3828125;0.060546875;0.056640625;0.05078125;0.048828125;0.048828125;0.048828125;0.048828125;0.05078125;0.7;0.15625;0.890625;0.734375;0.7734375;0.2109375;0.20703125;0.1953125;0.17578125;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.6
16;74.23;16;0.15625;0.90625;0.8515625;0.8828125;0.5859375;0.53125;0.4765625;0.37890625;0.05859375;0.0546875;0.048828125;0.046875;0.046875;0.046875;0.046875;0.05078125;0.8;0.15625;0.890625;0.734375;0.7734375;0.2109375;0.20703125;0.19921875;0.1796875;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.6
17;74.22;17;0.15625;0.90625;0.8515625;0.8828125;0.5859375;0.5390625;0.484375;0.38671875;0.060546875;0.056640625;0.05078125;0.048828125;0.048828125;0.046875;0.048828125;0.05078125;0.8;0.15625;0.890625;0.7265625;0.7734375;0.21484375;0.2109375;0.19921875;0.1796875;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.0234375;0.6
18;75.82;18;0.15625;0.890625;0.8515625;0.8828125;0.578125;0.5234375;0.46484375;0.3515625;0.052734375;0.048828125;0.044921875;0.04296875;0.04296875;0.04296875;0.044921875;0.046875;0.8;0.15625;0.890625;0.7265625;0.7734375;0.21484375;0.20703125;0.1953125;0.17578125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.021484375;0.6
19;75.53;19;0.15625;0.890625;0.84375;0.8828125;0.578125;0.53125;0.46875;0.37109375;0.056640625;0.05078125;0.044921875;0.04296875;0.04296875;0.04296875;0.044921875;0.048828125;0.8;0.15625;0.890625;0.734375;0.7734375;0.21484375;0.20703125;0.19921875;0.171875;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.021484375;0.6
20;75.2;20;0.15625;0.90625;0.84375;0.8828125;0.578125;0.52734375;0.46875;0.36328125;0.056640625;0.05078125;0.046875;0.04296875;0.04296875;0.044921875;0.044921875;0.048828125;0.8;0.15625;0.890625;0.7265625;0.765625;0.21484375;0.20703125;0.19921875;0.18359375;0.021484375;0.021484375;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.6
21;75.96;21;0.15625;0.90625;0.8359375;0.875;0.5703125;0.52734375;0.47265625;0.36328125;0.0546875;0.05078125;0.044921875;0.04296875;0.04296875;0.04296875;0.044921875;0.048828125;0.8;0.15625;0.890625;0.7265625;0.765625;0.2109375;0.20703125;0.203125;0.18359375;0.021484375;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.6
22;75.86;22;0.15625;0.90625;0.8359375;0.875;0.57421875;0.5234375;0.46875;0.359375;0.0546875;0.048828125;0.044921875;0.04296875;0.04296875;0.04296875;0.044921875;0.048828125;0.8;0.15625;0.875;0.7265625;0.765625;0.21484375;0.20703125;0.19921875;0.17578125;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.01953125;0.01953125;0.021484375;0.6
23;77.43;23;0.15625;0.90625;0.84375;0.875;0.578125;0.53125;0.47265625;0.36328125;0.0546875;0.044921875;0.041015625;0.0390625;0.0390625;0.041015625;0.041015625;0.046875;0.8;0.15625;0.890625;0.7265625;0.7578125;0.2109375;0.20703125;0.19921875;0.1796875;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.021484375;0.7
24;76.46;24;0.15625;0.90625;0.8359375;0.875;0.5625;0.515625;0.45703125;0.34375;0.046875;0.041015625;0.0390625;0.037109375;0.037109375;0.037109375;0.0390625;0.04296875;0.8;0.15625;0.890625;0.7265625;0.765625;0.2109375;0.20703125;0.19921875;0.18359375;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.021484375;0.7
25;77.12;25;0.15625;0.90625;0.8359375;0.875;0.56640625;0.51953125;0.47265625;0.3671875;0.056640625;0.046875;0.04296875;0.041015625;0.041015625;0.041015625;0.04296875;0.046875;0.8;0.15625;0.875;0.7265625;0.7578125;0.2109375;0.20703125;0.19921875;0.18359375;0.021484375;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.021484375;0.7
26;76.89;26;0.15625;0.90625;0.84375;0.875;0.5703125;0.51953125;0.46484375;0.359375;0.052734375;0.04296875;0.0390625;0.037109375;0.037109375;0.0390625;0.041015625;0.044921875;0.8;0.15625;0.875;0.71875;0.7578125;0.21484375;0.20703125;0.19921875;0.17578125;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.01953125;0.6
27;77.15;27;0.15625;0.90625;0.84375;0.875;0.5625;0.5234375;0.46484375;0.3515625;0.052734375;0.04296875;0.037109375;0.03515625;0.03515625;0.03515625;0.037109375;0.04296875;0.7;0.15625;0.890625;0.7265625;0.765625;0.21484375;0.2109375;0.203125;0.1796875;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.01953125;0.6
28;77.96;28;0.15625;0.90625;0.8359375;0.875;0.5703125;0.52734375;0.47265625;0.3671875;0.056640625;0.046875;0.04296875;0.041015625;0.041015625;0.041015625;0.04296875;0.046875;0.8;0.15625;0.890625;0.7265625;0.7578125;0.21484375;0.2109375;0.203125;0.18359375;0.021484375;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.021484375;0.7
29;77.86;29;0.15625;0.90625;0.8359375;0.875;0.5625;0.51953125;0.46875;0.359375;0.056640625;0.046875;0.041015625;0.0390625;0.0390625;0.0390625;0.041015625;0.046875;0.8;0.15625;0.890625;0.7265625;0.7578125;0.21484375;0.20703125;0.19921875;0.17578125;0.01953125;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.6
30;78.21;30;0.15625;0.90625;0.8359375;0.875;0.56640625;0.52734375;0.4765625;0.37109375;0.05859375;0.046875;0.0390625;0.037109375;0.037109375;0.037109375;0.0390625;0.044921875;0.8;0.15625;0.890625;0.7265625;0.765625;0.21484375;0.2109375;0.203125;0.1796875;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.6
31;77.76;31;0.15625;0.90625;0.8359375;0.875;0.57421875;0.53515625;0.48046875;0.3671875;0.0546875;0.044921875;0.0390625;0.037109375;0.037109375;0.037109375;0.0390625;0.046875;0.8;0.15625;0.890625;0.71875;0.765625;0.21484375;0.2109375;0.203125;0.1796875;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.021484375;0.7
32;78.79;32;0.171875;0.90625;0.8359375;0.875;0.5703125;0.5234375;0.46484375;0.35546875;0.05078125;0.041015625;0.037109375;0.033203125;0.033203125;0.033203125;0.03515625;0.041015625;0.8;0.15625;0.890625;0.71875;0.765625;0.21484375;0.2109375;0.203125;0.18359375;0.01953125;0.017578125;0.017578125;0.015625;0.015625;0.015625;0.017578125;0.017578125;0.6
33;78.0;33;0.171875;0.90625;0.8359375;0.875;0.5703125;0.5234375;0.48046875;0.375;0.056640625;0.044921875;0.0390625;0.037109375;0.037109375;0.0390625;0.0390625;0.044921875;0.8;0.171875;0.890625;0.7265625;0.7578125;0.21484375;0.2109375;0.203125;0.1796875;0.021484375;0.01953125;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.6
34;78.84;34;0.171875;0.90625;0.8359375;0.875;0.56640625;0.52734375;0.47265625;0.359375;0.0546875;0.041015625;0.03515625;0.033203125;0.033203125;0.033203125;0.037109375;0.04296875;0.8;0.171875;0.890625;0.7265625;0.7578125;0.21484375;0.2109375;0.20703125;0.1875;0.021484375;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.021484375;0.7
35;78.35;35;0.171875;0.90625;0.8359375;0.875;0.5625;0.53515625;0.48828125;0.3828125;0.060546875;0.048828125;0.04296875;0.0390625;0.0390625;0.0390625;0.041015625;0.046875;0.8;0.171875;0.890625;0.7265625;0.7578125;0.21484375;0.2109375;0.20703125;0.1875;0.021484375;0.021484375;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.021484375;0.6
36;78.69;36;0.15625;0.90625;0.8359375;0.875;0.57421875;0.53515625;0.48828125;0.375;0.056640625;0.04296875;0.03515625;0.033203125;0.033203125;0.03515625;0.037109375;0.04296875;0.8;0.171875;0.890625;0.7265625;0.765625;0.21484375;0.2109375;0.20703125;0.18359375;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.6
37;79.01;37;0.171875;0.90625;0.8359375;0.875;0.5703125;0.53515625;0.48828125;0.3828125;0.060546875;0.046875;0.041015625;0.037109375;0.037109375;0.037109375;0.0390625;0.044921875;0.8;0.171875;0.890625;0.7265625;0.7578125;0.21484375;0.2109375;0.20703125;0.1875;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.7
38;79.35;38;0.171875;0.90625;0.8359375;0.875;0.5703125;0.53125;0.48828125;0.3828125;0.0625;0.046875;0.0390625;0.03515625;0.037109375;0.037109375;0.0390625;0.04296875;0.8;0.171875;0.890625;0.7265625;0.7578125;0.21484375;0.2109375;0.203125;0.18359375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.6
39;79.16;39;0.171875;0.90625;0.8359375;0.8671875;0.5703125;0.54296875;0.5;0.390625;0.0625;0.044921875;0.037109375;0.03515625;0.03515625;0.03515625;0.037109375;0.04296875;0.8;0.171875;0.890625;0.7265625;0.7578125;0.21484375;0.2109375;0.20703125;0.18359375;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.01953125;0.01953125;0.021484375;0.7
40;79.19;40;0.171875;0.90625;0.8359375;0.875;0.578125;0.546875;0.5078125;0.40625;0.068359375;0.05078125;0.04296875;0.0390625;0.0390625;0.0390625;0.041015625;0.046875;0.8;0.171875;0.890625;0.71875;0.7578125;0.21484375;0.2109375;0.203125;0.18359375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.01953125;0.7
41;79.09;41;0.171875;0.90625;0.8359375;0.8671875;0.5703125;0.53515625;0.48046875;0.37109375;0.05859375;0.044921875;0.03515625;0.033203125;0.033203125;0.033203125;0.03515625;0.04296875;0.8;0.171875;0.890625;0.7265625;0.7578125;0.21484375;0.21484375;0.20703125;0.18359375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.7
42;79.56;42;0.171875;0.90625;0.8359375;0.875;0.57421875;0.5390625;0.48828125;0.375;0.05859375;0.041015625;0.03515625;0.033203125;0.033203125;0.03515625;0.03515625;0.04296875;0.8;0.171875;0.890625;0.7265625;0.7578125;0.21875;0.21484375;0.20703125;0.18359375;0.021484375;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.6
43;80.0;43;0.171875;0.90625;0.8359375;0.8671875;0.5703125;0.5390625;0.48828125;0.37890625;0.060546875;0.044921875;0.037109375;0.033203125;0.033203125;0.03515625;0.037109375;0.04296875;0.8;0.171875;0.890625;0.7265625;0.7578125;0.21875;0.21484375;0.20703125;0.18359375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.6
44;79.59;44;0.171875;0.90625;0.8359375;0.875;0.57421875;0.546875;0.5;0.38671875;0.0625;0.04296875;0.03515625;0.03125;0.03125;0.03125;0.033203125;0.041015625;0.8;0.171875;0.890625;0.7265625;0.765625;0.21875;0.21484375;0.2109375;0.18359375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.6
45;79.85;45;0.171875;0.90625;0.8359375;0.875;0.5703125;0.54296875;0.50390625;0.39453125;0.064453125;0.046875;0.037109375;0.033203125;0.033203125;0.03515625;0.037109375;0.04296875;0.8;0.171875;0.890625;0.7265625;0.7578125;0.21875;0.21484375;0.2109375;0.19140625;0.021484375;0.017578125;0.017578125;0.015625;0.015625;0.015625;0.017578125;0.01953125;0.7
46;79.64;46;0.171875;0.90625;0.8359375;0.875;0.57421875;0.546875;0.5;0.390625;0.0625;0.044921875;0.03515625;0.03125;0.03125;0.03125;0.033203125;0.041015625;0.8;0.171875;0.890625;0.7265625;0.7578125;0.21875;0.21484375;0.2109375;0.19140625;0.021484375;0.017578125;0.017578125;0.017578125;0.01953125;0.01953125;0.01953125;0.021484375;0.7
47;79.97;47;0.171875;0.90625;0.8359375;0.875;0.5703125;0.5390625;0.5;0.390625;0.0625;0.044921875;0.03515625;0.03125;0.03125;0.033203125;0.03515625;0.04296875;0.8;0.171875;0.890625;0.7265625;0.765625;0.21875;0.21484375;0.21484375;0.19140625;0.021484375;0.017578125;0.017578125;0.015625;0.017578125;0.017578125;0.017578125;0.01953125;0.6
48;80.22;48;0.171875;0.90625;0.8359375;0.875;0.5703125;0.55078125;0.5078125;0.40234375;0.068359375;0.046875;0.03515625;0.03125;0.033203125;0.033203125;0.03515625;0.04296875;0.8;0.171875;0.890625;0.7265625;0.765625;0.21875;0.21875;0.2109375;0.19140625;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.021484375;0.6
49;79.87;49;0.171875;0.90625;0.8359375;0.875;0.5703125;0.546875;0.5078125;0.3984375;0.06640625;0.044921875;0.03515625;0.03125;0.03125;0.033203125;0.033203125;0.041015625;0.8;0.171875;0.890625;0.7265625;0.765625;0.21875;0.21484375;0.21484375;0.19140625;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.021484375;0.7
50;80.15;50;0.171875;0.90625;0.8359375;0.875;0.5703125;0.55078125;0.5078125;0.39453125;0.064453125;0.04296875;0.033203125;0.029296875;0.029296875;0.03125;0.033203125;0.041015625;0.8;0.171875;0.875;0.7265625;0.765625;0.21875;0.21875;0.21484375;0.19140625;0.021484375;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.01953125;0.021484375;0.7
51;80.77;51;0.171875;0.890625;0.8359375;0.8671875;0.56640625;0.54296875;0.50390625;0.40234375;0.068359375;0.048828125;0.03515625;0.03125;0.03125;0.033203125;0.03515625;0.04296875;0.8;0.171875;0.875;0.7265625;0.765625;0.21875;0.21484375;0.2109375;0.19140625;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.7
52;80.76;52;0.171875;0.90625;0.8359375;0.875;0.56640625;0.546875;0.5078125;0.40234375;0.06640625;0.044921875;0.03515625;0.03125;0.03125;0.03125;0.033203125;0.041015625;0.8;0.171875;0.890625;0.7265625;0.765625;0.21875;0.21484375;0.2109375;0.18359375;0.021484375;0.01953125;0.017578125;0.017578125;0.01953125;0.01953125;0.01953125;0.021484375;0.7
53;80.42;53;0.171875;0.890625;0.828125;0.8671875;0.57421875;0.55078125;0.51171875;0.40234375;0.068359375;0.046875;0.03515625;0.03125;0.03125;0.033203125;0.033203125;0.041015625;0.8;0.171875;0.875;0.7265625;0.765625;0.21875;0.21484375;0.2109375;0.1875;0.021484375;0.01953125;0.01953125;0.017578125;0.01953125;0.01953125;0.01953125;0.021484375;0.6
54;80.47;54;0.171875;0.890625;0.8359375;0.875;0.57421875;0.55078125;0.515625;0.40625;0.068359375;0.044921875;0.03515625;0.029296875;0.029296875;0.029296875;0.03125;0.0390625;0.8;0.171875;0.875;0.7265625;0.7734375;0.21875;0.21484375;0.2109375;0.18359375;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.021484375;0.7
55;80.73;55;0.171875;0.890625;0.8359375;0.875;0.578125;0.5546875;0.515625;0.41015625;0.072265625;0.05078125;0.037109375;0.033203125;0.033203125;0.033203125;0.03515625;0.041015625;0.8;0.171875;0.875;0.7265625;0.765625;0.21875;0.21484375;0.21484375;0.1875;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.7
56;80.35;56;0.171875;0.90625;0.8359375;0.875;0.5703125;0.546875;0.51171875;0.3984375;0.068359375;0.046875;0.037109375;0.03125;0.03125;0.03125;0.033203125;0.041015625;0.8;0.171875;0.875;0.7265625;0.765625;0.21875;0.21484375;0.2109375;0.1875;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.7
57;80.46;57;0.171875;0.890625;0.828125;0.875;0.57421875;0.5625;0.5234375;0.4140625;0.072265625;0.05078125;0.037109375;0.033203125;0.033203125;0.033203125;0.03515625;0.04296875;0.8;0.171875;0.875;0.7265625;0.765625;0.21875;0.21484375;0.2109375;0.1875;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.01953125;0.01953125;0.021484375;0.7
58;80.24;58;0.171875;0.90625;0.828125;0.8671875;0.5703125;0.5546875;0.5234375;0.4140625;0.07421875;0.05078125;0.037109375;0.033203125;0.03125;0.033203125;0.033203125;0.041015625;0.8;0.171875;0.875;0.7265625;0.7578125;0.21875;0.21484375;0.2109375;0.1875;0.021484375;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.7
59;79.78;59;0.171875;0.90625;0.8359375;0.875;0.57421875;0.55859375;0.52734375;0.42578125;0.076171875;0.052734375;0.0390625;0.033203125;0.033203125;0.03515625;0.03515625;0.044921875;0.8;0.171875;0.875;0.7265625;0.765625;0.21875;0.21484375;0.2109375;0.1875;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.7
60;80.59;60;0.171875;0.90625;0.828125;0.8671875;0.57421875;0.5546875;0.515625;0.40234375;0.068359375;0.044921875;0.033203125;0.03125;0.029296875;0.03125;0.033203125;0.041015625;0.8;0.171875;0.875;0.7265625;0.765625;0.21875;0.21484375;0.21484375;0.19140625;0.0234375;0.01953125;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.7
61;80.18;61;0.171875;0.890625;0.8359375;0.8671875;0.57421875;0.5546875;0.52734375;0.41796875;0.07421875;0.048828125;0.03515625;0.029296875;0.029296875;0.03125;0.03125;0.041015625;0.8;0.171875;0.875;0.7265625;0.7578125;0.21875;0.21484375;0.21484375;0.19140625;0.0234375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.7
62;80.71;62;0.171875;0.90625;0.8359375;0.875;0.57421875;0.5625;0.53125;0.421875;0.07421875;0.048828125;0.037109375;0.03125;0.029296875;0.03125;0.033203125;0.041015625;0.8;0.171875;0.875;0.7265625;0.765625;0.21875;0.21875;0.2109375;0.1875;0.021484375;0.01953125;0.017578125;0.017578125;0.017578125;0.017578125;0.01953125;0.021484375;0.7
