Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,75291936.0,2.995640754699707,2.48,3.0579612255096436,2.69
0,9110324256.0,0.9939393997192383,9.64,0.9919149875640869,8.65
10,99460647456.0,0.5105282664299011,24.86,0.7459463477134705,24.33
20,189810970656.0,0.5517392158508301,32.88,1.001137375831604,31.26
30,280161293856.0,0.6882760524749756,38.3,0.9992749094963074,35.92
40,370511617056.0,0.899756908416748,42.5,1.1896724700927734,39.44
50,460861940256.0,0.9588983058929443,45.88,1.243513584136963,41.87
60,551212263456.0,1.0344483852386475,48.92,1.7146990299224854,44.37
70,641562586656.0,1.32081937789917,52.14,1.760618805885315,46.59
80,731912909856.0,1.5189052820205688,54.1,2.007594585418701,47.87
90,822263233056.0,1.2196643352508545,57.14,1.813913345336914,49.8
100,912613556256.0,1.4931302070617676,58.54,1.8011085987091064,50.9
101,912613556256.0,1.4858360290527344,58.64,1.8011085987091064,50.9
