Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy
0,1.6947546812065988,2.009494836529257,4.369519679194672,3.906356909481879,12.995926273851781,12.760134316018762,40.13831724263383,2.6299999893188475,4.709999996185303,8.920000001525878,11.030000003051757,20.33,21.59000001220703,45.96999994506836
1,2.4316045429472193,3.9558311140794884,7.168496509972587,8.576932389665478,17.98229454924422,22.353919512051093,50.66053326985544,2.479999999809265,5.029999996948242,8.259999992370606,10.179999993896484,17.910000006103516,26.72,47.999999963378905
2,2.5547637342597302,4.252676344029277,7.379025042293576,9.31904546239165,17.30649796235343,24.558153241248814,52.52476341189655,2.65999999961853,4.849999994659424,8.779999997711181,11.03,19.559999993896483,26.419999978637694,48.489999957275394
3,2.551605806444671,4.184254571331641,7.769555468603386,9.624311835784988,17.797029440347195,24.597101023521454,52.81634543541588,2.56,4.719999998092652,8.729999989318848,11.45,19.720000024414063,26.549999981689453,48.27999999389648
4,2.601080010946912,3.972673396351255,7.251655280391164,8.9958841670311,17.118074927606436,24.17288602919469,53.1184538782611,2.639999995422363,3.8900000007629396,9.05,11.839999975585938,19.959999975585937,27.00999998779297,48.649999993896486
5,2.6084485100520776,4.0653059506567155,7.389551469424616,9.910630636972435,17.839135149503793,25.266581750580894,53.42477288656389,2.73,4.389999990844727,8.770000003051758,12.269999996948242,19.67999998474121,26.469999963378907,48.530000018310545
6,2.5263423821297666,3.431615069326129,7.40428846611909,9.80641901584049,17.708607456536267,24.954999527294603,53.45108895561874,2.7799999984741213,5.169999996185303,8.509999981689454,11.170000006103516,18.750000003051756,25.809999932861327,48.359999975585936
7,2.5684480886687533,3.791618858302628,7.1127064496770975,9.391677807174966,17.54544784732138,24.78341877379291,53.299508408770606,2.63,4.459999993896484,8.14999999847412,8.810000009155273,17.54000001220703,24.599999990844726,48.61999995117188
8,2.6579227147174485,3.9674101824218293,7.276918704005864,9.362203812711867,17.472815504686363,24.562363813171363,53.54056358038247,2.769999998855591,4.7699999954223635,7.619999995422363,10.5,18.04,26.98999998779297,48.499999975585936
9,2.54423730771345,3.714775944751449,7.045337318938652,9.102201076493474,17.166496489075335,25.017105444620622,53.441615176422474,2.549999999046326,5.139999989318848,9.050000001525879,12.150000006103516,19.26999997253418,26.60999995727539,48.34999994506836
