Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,0,0.9359076619148254,3.3761982649593847e-06,78.1,0.8445047736167908,3.455928435869282e-06,77.8
0,4331471520.0,0.5377782583236694,3.0240232717915205e-06,90.62,0.45622119307518005,2.5824588192335796e-06,87.2
10,47646186720.0,0.1245114728808403,6.096637662267312e-06,96.86,0.1511922925710678,4.3619420466711745e-06,91.86
20,90960901920.0,0.10862752050161362,4.568154054140905e-06,96.96,0.1447734534740448,4.717701813206077e-06,91.98
30,134275617120.0,0.10054747015237808,5.981727099424461e-06,97.3,0.13951896131038666,5.1379802243900485e-06,92.02
40,177590332320.0,0.07029062509536743,1.0097789527208079e-05,97.56,0.13827142119407654,6.891175416967599e-06,92.22
50,220905047520.0,0.07184559851884842,8.198431714845356e-06,97.76,0.12965399026870728,7.912291039247066e-06,92.48
60,264219762720.0,0.06304377317428589,1.1091675332863815e-05,97.88,0.1258670687675476,8.084838555078022e-06,92.49
70,307534477920.0,0.06506384164094925,1.0478775948286057e-05,97.96,0.12773627042770386,8.452412657788955e-06,92.48
80,350849193120.0,0.05179791525006294,1.1232321412535384e-05,98.2,0.12711940705776215,9.943874829332344e-06,92.67
90,394163908320.0,0.06007097661495209,1.5195304513326846e-05,98.0,0.12742722034454346,1.1399452887417283e-05,92.75
