Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,0,0.9097278118133545,3.4580302781250793e-06,78.46,0.8445047736167908,3.4559282084956067e-06,77.8
0,4331471520.0,0.5310266613960266,2.6163904749409994e-06,90.14,0.46025094389915466,2.6197697025054367e-06,87.09
10,47646186720.0,0.11856891959905624,5.342870281310752e-06,96.78,0.14727382361888885,4.725359303847654e-06,91.9
20,90960901920.0,0.10986408591270447,7.1534764174430165e-06,97.2,0.14670760929584503,5.0641106099647e-06,92.05
30,134275617120.0,0.09537658095359802,7.688146069995128e-06,97.0,0.13318705558776855,5.602150395134231e-06,92.24
40,177590332320.0,0.07338469475507736,1.0146574823011179e-05,97.42,0.11610456556081772,8.155579962476622e-06,92.42
50,220905047520.0,0.06974977254867554,1.151873675553361e-05,97.92,0.12141893804073334,1.0067529728985392e-05,92.61
60,264219762720.0,0.05918693542480469,1.1662787073873915e-05,98.04,0.1233208104968071,1.0262881914968602e-05,92.67
70,307534477920.0,0.06665538996458054,8.234346751123667e-06,97.68,0.1269383579492569,1.0764254511741456e-05,92.7
80,350849193120.0,0.06324498355388641,1.218116085510701e-05,98.14,0.12485450506210327,1.2759127457684372e-05,92.85
90,394163908320.0,0.05558032542467117,1.4297759662440512e-05,98.2,0.1292278915643692,1.408035859640222e-05,92.93
