Name,Dense Accuracy,Pruned Accuracy
resnet25_small_normal_cifar10_rf_level_5_ekfac_cifar10_100_res_224_gc_0_test_acc_89.82.pth,17.37,11.74
resnet25_small_normal_cifar10_rf_level_5_ekfac_cifar10_100_res_224_gc_0_test_acc_89.67.pth,15.21,12.91
resnet25_small_normal_cifar10_rf_level_5_ekfac_cifar10_100_res_224_gc_0_test_acc_89.23.pth,13.95,11.41
resnet25_small_normal_cifar10_rf_level_5_ekfac_cifar10_100_res_224_gc_0_test_acc_88.9.pth,17.34,13.88
