Name,Dense Accuracy,Pruned Accuracy
resnet25_small_normal_cifar10_1729092910.4707565_rf_level_10_sgd_100_res_224_test_acc_88.21.pth,13.83,11.39
resnet25_small_normal_cifar10_1729093089.8273861_rf_level_10_sgd_100_res_224_test_acc_88.32.pth,14.48,10.65
resnet25_small_normal_cifar10_seed.0_rf_level_10_sgd_100_res_224_test_acc_87.89.pth,12.76,10.19
resnet25_small_normal_cifar10_1729093089.2203698_rf_level_10_sgd_100_res_224_test_acc_88.0.pth,15.96,10.77
